token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
5887, expert,12,-5.093526204427083,-4.6101226806640625,0.48340352376302054
5163, exchange,16,-3.709228515625,-3.45281982421875,0.25640869140625
14105, Perry,16,-2.26387882232666,-2.0368454456329346,0.22703337669372559
10884, Sin,12,-2.650806109110514,-2.489323933919271,0.1614821751912432
23035, perf,14,-2.0439545767647878,-1.904411860874721,0.13954271589006684
35988, edible,11,-5.739701704545454,-5.605646306818182,0.13405539772727249
5658, Thomas,10,-5.79959716796875,-5.68284912109375,0.11674804687500018
14557,social,10,-3.0848274707794188,-2.9691125392913817,0.11571493148803702
6186, Amazon,20,-2.669733428955078,-2.5561119079589845,0.11362152099609357
13120,friendly,12,-2.249394734700521,-2.1368865966796875,0.11250813802083348
18393, drought,10,-4.143798828125,-4.033056640625,0.11074218749999964
433,art,16,-1.4139353930950165,-1.3037910386919975,0.11014435440301895
9222,asting,16,-1.1453026831150055,-1.0366273000836372,0.10867538303136826
14167, Stanley,11,-2.445401495153254,-2.3367785757238213,0.10862291942943259
11761, Liverpool,12,-3.6015218098958335,-3.5032145182291665,0.09830729166666696
918,ren,23,-0.5128090537112692,-0.4157194002814915,0.09708965342977766
4336, fan,26,-3.9041419396033654,-3.807208721454327,0.09693321814903832
12910, chemicals,11,-3.9981134588068183,-3.9024103338068183,0.095703125
6176, Wars,13,-0.3711607272808368,-0.27640474759615385,0.09475597968468297
3192, Calif,14,-2.9587657111031667,-2.86474118913923,0.09402452196393662
20442, Mend,10,-2.7471435546875,-2.65330810546875,0.09383544921874964
1747,ots,12,-0.7893282572428385,-0.6956694424152374,0.09365881482760108
13708, Hawaii,16,-2.787846565246582,-2.6948299407958984,0.0930166244506836
7317, initially,14,-6.140625,-6.052455357142857,0.08816964285714324
3375, talking,20,-3.50745849609375,-3.41934814453125,0.08811035156249991
1229,uc,19,-0.7555654550853529,-0.6675230452888891,0.08804240979646383
4845, marriage,18,-3.353656768798828,-3.266177707248264,0.08747906155056429
47199, pies,18,-2.8297492133246527,-2.744461907280816,0.08528730604383661
33742, Gregg,18,-2.79693603515625,-2.7126532660590277,0.08428276909722232
7967, Snow,13,-2.5368482149564304,-2.4539272601787863,0.08292095477764416
28679, supervised,15,-2.928719075520833,-2.8459716796875,0.08274739583333313
289, h,41,-7.172637195121951,-7.091653963414634,0.08098323170731714
19979, Cream,16,-3.2917916774749756,-3.2124745845794678,0.07931709289550781
4404, defend,11,-4.790482954545454,-4.711558948863637,0.07892400568181746
833, Tr,12,-5.144613275925319,-5.065888901551564,0.07872437437375446
6738,from,13,-5.391301081730769,-5.312687800480769,0.07861328125
4673, learning,12,-3.17938232421875,-3.105138142903646,0.07424418131510402
3827, Over,15,-5.811392339070638,-5.73719482421875,0.07419751485188808
3352, plans,42,-4.789988199869792,-4.717599051339286,0.07238914853050638
5166, pair,11,-4.563985651189631,-4.494383031671697,0.06960261951793356
1492, book,66,-2.517019098455256,-2.4485029740767046,0.06851612437855126
6655, surprised,13,-2.9373526939978967,-2.8690132727989783,0.06833942119891834
9133, Latin,14,-3.150730678013393,-3.0851614815848216,0.06556919642857117
4883,owl,16,-0.6589125990867615,-0.5941985845565796,0.06471401453018188
17180, apple,15,-4.513460286458334,-4.450203450520833,0.06325683593750053
7705, secretary,11,-1.593293623490767,-1.5307422984730115,0.06255132501775562
3797, cat,19,-4.0655067845394735,-4.003167403371711,0.06233938116776283
6786, Christmas,11,-4.837979403409091,-4.7756569602272725,0.06232244318181834
7035, authors,10,-3.10572509765625,-3.04462890625,0.06109619140625
1108,ness,30,-1.166279673576355,-1.1056089242299398,0.06067074934641514
5870, CH,13,-2.628680889423077,-2.5684344951923075,0.06024639423076961
266, w,39,-4.754468868940305,-4.694405580178286,0.06006328876201916
7,(,31,-3.032499744046119,-2.972594722624748,0.059905021421370996
12191, epic,10,-6.597265625,-6.53779296875,0.05947265625000053
10225, corporations,12,-5.491455078125,-5.432657877604167,0.05879720052083304
4365, mission,13,-3.552568875826322,-3.4938941368689904,0.05867473895733166
22979, baked,18,-4.629401312934028,-4.57098388671875,0.05841742621527768
3801, Dark,14,-6.286690848214286,-6.228655133928571,0.05803571428571441
8970, locked,13,-6.4403545673076925,-6.382361778846154,0.057992788461538325
7791, scheme,14,-3.202662876674107,-3.1450892857142856,0.05757359095982162
5301, package,17,-3.219125186695772,-3.161594166475184,0.057531020220588314
11868, killer,11,-3.6853471235795454,-3.6288396661931817,0.05650745738636376
6150, remained,11,-6.49609375,-6.439808238636363,0.05628551136363669
10408, loves,11,-5.183771306818182,-5.1276633522727275,0.05610795454545414
5875, thank,13,-4.252203721266526,-4.196206312913161,0.055997408353364975
31683, Cron,14,-2.1746913364955356,-2.1187831333705356,0.055908203125
4696, Bay,21,-1.742060275304885,-1.686301867167155,0.05575840813773003
9912, holiday,12,-4.370198567708333,-4.314534505208333,0.0556640625
4960, Japanese,24,-4.006467978159587,-3.9508203665415444,0.055647611618042436
3163,Ar,14,-3.9705418178013394,-3.9149911063058034,0.05555071149553603
2141, Do,28,-3.7965589250837053,-3.741216387067522,0.05534253801618316
10,+,10,-4.216748046875,-4.16171875,0.05502929687499947
7372, centre,11,-1.9735551313920454,-1.9185291637073865,0.05502596768465895
575, Y,33,-3.6540977015639795,-3.599557587594697,0.05454011396928271
4481, posted,32,-3.0418097488582134,-2.987406812608242,0.05440293624997139
12025,Facebook,16,-4.18104711920023,-4.126802064478397,0.054245054721832275
19790, Mills,13,-0.7349582635439359,-0.6808868188124436,0.05407144473149228
10005, Guide,10,-1.8221324920654296,-1.7688343048095703,0.05329818725585933
499,ap,34,-1.0642768600407768,-1.0111442629028768,0.05313259713789997
5413, Microsoft,19,-3.460526315789474,-3.408151726973684,0.052374588815789824
30628, SPD,10,-1.7445556640625,-1.69224853515625,0.05230712890625
26320, steak,29,-5.139623181573276,-5.087388137291217,0.052235044282058496
6103, panel,12,-4.006571451822917,-3.954376220703125,0.05219523111979196
12912, frozen,13,-3.8090914212740383,-3.757023737980769,0.05206768329326916
5956,Last,10,-5.85390625,-5.8021484375,0.0517578125
8659, suffer,14,-4.630850655691964,-4.579624720982143,0.051225934709821175
4196, Apple,15,-3.652872371673584,-3.6017553329467775,0.051117038726806285
4744, Florida,15,-2.4252037048339843,-2.3742729822794595,0.0509307225545248
14509, jack,11,-3.311379172585227,-3.261441317471591,0.04993785511363624
38383, cooks,15,-3.691048177083333,-3.6412109375,0.049837239583333304
7150, trees,14,-3.4669363839285716,-3.4173409598214284,0.04959542410714324
10282, settled,11,-5.218838778409091,-5.169477982954546,0.04936079545454497
1138, met,28,-3.907214573451451,-3.8580245971679688,0.049189976283482206
12835, leaf,10,-3.8886756896972656,-3.839954376220703,0.0487213134765625
7986, driven,13,-5.9248798076923075,-5.876201923076923,0.04867788461538414
2560, parent,10,-2.87939453125,-2.831103515625,0.04829101562499982
7494, veget,26,-3.258479191706731,-3.2108670748197117,0.04761211688701916
3952, park,12,-3.0691134134928384,-3.022145907084147,0.046967506408691406
57,Z,19,-2.9716833516171106,-2.9249674395511023,0.046715912066008336
1417,ised,20,-0.9604825019836426,-0.9141628265380859,0.04631967544555671
4619, Since,23,-5.584833559782608,-5.538637907608695,0.04619565217391308
3792,Is,16,-4.639100655913353,-4.594068333506584,0.0450323224067688
4652, league,13,-3.002178485576923,-2.957820012019231,0.04435847355769207
3772, happy,33,-3.1818181818181817,-3.1375103574810606,0.044307824337121104
48380, Volcano,10,-1.331578826904297,-1.287286376953125,0.044292449951171875
12871, Montreal,14,-2.8382960728236606,-2.7940543038504466,0.04424176897321397
12517, Delhi,20,-2.212990379333496,-2.169019889831543,0.043970489501953036
6170,Trump,17,-2.69873046875,-2.654928768382353,0.04380170036764719
13785, Eagles,16,-1.3729262351989746,-1.3291592597961426,0.04376697540283203
4320, dream,13,-4.4517035851111775,-4.407987741323618,0.04371584378755955
301,st,44,-1.2159326509995894,-1.172316843813116,0.0436158071864734
