token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
16902, Dennis,11,-4.7749411843039775,-4.2978737571022725,0.47706742720170503
7915, regional,10,-5.8932861328125,-5.46201171875,0.4312744140625
34241, Lowe,11,-2.7345524701205166,-2.494993643327193,0.23955882679332374
7628, recovery,11,-3.7985063032670454,-3.5607244318181817,0.23778187144886376
26511, worsh,10,-3.184637451171875,-2.9690185546875,0.21561889648437482
246,�,97,-6.242381302351804,-6.057055286525451,0.18532601582635255
38691, cardinal,12,-3.528752644856771,-3.3454081217447915,0.18334452311197946
1976, z,13,-4.772131112905649,-4.598421536959135,0.17370957594651415
5125, 49,10,-5.26337890625,-5.0923095703125,0.17106933593750018
336, st,24,-6.122280756632487,-5.954168240229289,0.16811251640319824
931,ump,16,-1.4114773273468018,-1.2544008493423462,0.15707647800445557
2134, object,11,-4.681729403409091,-4.5266335227272725,0.15509588068181834
49684, MISS,17,-2.7537339154411766,-2.5994944852941178,0.15423943014705888
11300, traveling,10,-4.6449951171875,-4.491748046875,0.15324707031250018
837," ,",39,-3.1800542061145487,-3.027467192747654,0.15258701336689473
864,ational,13,-0.9929989301241361,-0.844674642269428,0.14832428785470808
6507, sad,11,-6.579545454545454,-6.431640625,0.14790482954545414
5417, sea,17,-3.1421257467830883,-3.0004559685202206,0.14166977826286775
5774,87,10,-3.1724122047424315,-3.030957841873169,0.1414543628692626
39777, rookies,10,-5.21611328125,-5.07548828125,0.140625
7880, quarterback,10,-3.287347412109375,-3.1469970703125,0.140350341796875
5565, Android,12,-2.99689515431722,-2.8568015893300376,0.14009356498718262
564, �,911,-5.401088609915272,-5.262389902225833,0.13869870768943837
251,�,1137,-2.9004174311536386,-2.7620142135267836,0.13840321762685504
6937, constant,10,-5.17568359375,-5.039599609375,0.13608398437499947
447,�,4914,-3.265952254874851,-3.132269507168656,0.13368274770619504
3738, Ant,13,-4.178900645329402,-4.04599956365732,0.13290108167208192
250,�,1207,-3.3240398369056683,-3.192321535567163,0.13171830133850548
4999, confirmed,24,-4.4897918701171875,-4.3642628987630205,0.12552897135416696
19316,league,10,-1.2660811424255372,-1.144912600517273,0.1211685419082642
4829, kick,11,-5.761163884943182,-5.6400146484375,0.12114923650568166
6076, spring,15,-4.25390625,-4.136002604166666,0.11790364583333357
9966, Albert,10,-2.866381895542145,-2.7491268157958983,0.1172550797462466
48444, Bicycle,10,-3.2473052978515624,-3.1313377380371095,0.11596755981445295
334, u,15,-5.92257202466329,-5.807240438461304,0.11533158620198591
21247, poem,11,-3.4828921231356533,-3.369406960227273,0.1134851629083804
5729, apparently,18,-7.559461805555555,-7.448893229166667,0.1105685763888884
9403, seed,11,-2.4769176136363638,-2.36688232421875,0.11003528941761376
1129,19,31,-2.030799250448904,-1.9226608276367188,0.10813842281218511
3881, rock,15,-4.790413411458333,-4.684480794270834,0.10593261718749947
10810, acknowledged,10,-5.969378662109375,-5.864248657226563,0.10513000488281232
2508, pie,10,-3.007795715332031,-2.903009033203125,0.10478668212890607
10749, Championship,13,-1.671491182767428,-1.5689896803635817,0.10250150240384626
19804, Travis,10,-3.4015869140625,-3.2999267578125,0.10166015624999991
13129, newsletter,11,-2.9109261361035434,-2.810561678626321,0.10036445747722267
7703, Little,11,-8.794389204545455,-8.694602272727273,0.09978693181818166
2267, research,33,-4.0347308534564394,-3.935269442471591,0.09946141098484862
8747, violation,10,-1.67706298828125,-1.57860107421875,0.09846191406250004
2933, boy,13,-2.746288592998798,-2.6480648334209738,0.09822375957782414
9019,ui,12,-1.6342933078606923,-1.5361156364281972,0.09817767143249512
33352, defensively,10,-6.458154296875,-6.360888671875,0.09726562499999947
6108, estimated,12,-3.4318364461263022,-3.3346125284830728,0.09722391764322946
4696, Bay,12,-2.7949672043323517,-2.6987558404604592,0.09621136387189244
14037, invite,13,-3.2724398099459133,-3.176366952749399,0.09607285719651415
294, th,20,-4.11365966796875,-4.018505859375,0.09515380859375
32534, Hawkins,17,-1.6572164086734547,-1.5637184030869429,0.09349800558651178
4957, daughter,10,-2.9418212890625,-2.8504638671875,0.09135742187500018
13257, museum,10,-3.78013916015625,-3.6888916015625,0.09124755859375
23842, PG,11,-4.563269875266335,-4.472238714044744,0.09103116122159083
4930, Two,13,-6.429387019230769,-6.339393028846154,0.08999399038461497
35208, MOR,34,-3.912823845358456,-3.8244557100183822,0.08836813534007382
6356, selection,13,-3.8883948692908654,-3.8015277569110575,0.08686711237980793
10579, Five,13,-4.354928823617788,-4.268672062800481,0.08625676081730749
3457, Inc,20,-3.2477892518043516,-3.1617293834686278,0.08605986833572388
5385, familiar,18,-4.584086100260417,-4.4984130859375,0.08567301432291696
4141, French,17,-4.44086815329159,-4.356132507324219,0.08473564596737138
6740, 52,12,-5.460042317708333,-5.375528971354167,0.08451334635416607
6466, joint,13,-4.24784333889301,-4.164549112319946,0.08329422657306385
3894, Well,13,-6.281099759615385,-6.1983173076923075,0.08278245192307754
9819,Related,12,-6.159993489583333,-6.077473958333333,0.08251953125
10216, Summer,15,-4.405428059895834,-4.323404947916667,0.08202311197916679
16212, cab,11,-1.8385564630681819,-1.7566361860795454,0.08192027698863646
1086, Bl,48,-2.5863998532295227,-2.504805862903595,0.08159399032592773
5581, television,31,-3.700293756300403,-3.6190264301915325,0.08126732610887055
2409, Bar,13,-4.831935002253606,-4.751108022836538,0.08082697941706751
5243, radio,18,-4.902126736111111,-4.821451822916667,0.08067491319444375
6669, Ma,13,-4.2203348599947414,-4.140334129333496,0.08000073066124536
8224, complaint,10,-2.82315673828125,-2.74364013671875,0.07951660156249973
4958, master,14,-6.479418073381696,-6.399961199079241,0.07945687430245485
10148, '',10,-4.251190185546875,-4.17177734375,0.07941284179687536
12451, expecting,10,-7.169140625,-7.08984375,0.07929687499999982
6497, picked,26,-5.368417593149038,-5.289456881009615,0.07896071213942335
3717, 2009,23,-3.7729784094769023,-3.695238196331522,0.07774021314538038
10937, Arena,18,-0.588111526436276,-0.5106441378593445,0.07746738857693147
285, m,30,-5.443392944335938,-5.36688232421875,0.07651062011718768
4376, raised,24,-4.2927296956380205,-4.216298421223958,0.0764312744140625
8308, newly,15,-6.981282552083333,-6.905110677083333,0.076171875
795, em,23,-4.500392747961956,-4.426059888756794,0.0743328592051622
5871, candidates,12,-3.6301778157552085,-3.556299845377604,0.07387797037760446
17281, Harrison,16,-3.5673828125,-3.49420166015625,0.07318115234375
5161, AT,13,-3.4468900240384617,-3.373798076923077,0.07309194711538458
12369, Oakland,12,-4.272674560546875,-4.201629638671875,0.071044921875
15097,team,17,-2.311373598435346,-2.2408272238338696,0.07054637460147628
8157, intense,14,-5.424107142857143,-5.354213169642857,0.06989397321428648
299, n,20,-6.673291015625,-6.60408935546875,0.06920166015625018
1158,ves,13,-1.8042846092810998,-1.735318844134991,0.06896576514610886
3519, related,18,-5.072970920138889,-5.004231770833333,0.06873914930555625
595, dis,13,-6.9226825420673075,-6.856088491586538,0.06659405048076916
8147, PA,11,-1.9693520285866477,-1.9039195667613635,0.06543246182528417
13981, MLS,12,-3.0923258463541665,-3.0273030598958335,0.06502278645833304
5766, factor,15,-5.674247233072917,-5.609610493977865,0.06463673909505196
8502, Hollywood,12,-5.453175852696101,-5.388761868079503,0.06441398461659809
5555, Photo,21,-2.3722630852744695,-2.307954424903506,0.06430866037096328
1766, Co,17,-4.283646639655618,-4.219344868379481,0.06430177127613756
3509, max,20,-2.5928024291992187,-2.5286659240722655,0.06413650512695312
11214, Meanwhile,11,-6.256036931818182,-6.192471590909091,0.06356534090909083
256, t,28,-6.053187779017857,-5.989964076450893,0.06322370256696352
4046, speech,14,-2.9862801688058034,-2.9233267647879466,0.06295340401785676
11663, managers,15,-3.509221394856771,-3.446427408854167,0.06279398600260411
4656, die,12,-2.845569928487142,-2.7834736506144204,0.06209627787272165
28647, DEA,12,-3.50152587890625,-3.4394632975260415,0.06206258138020848
7297, division,15,-3.637347412109375,-3.5758565266927085,0.061490885416666696
6276, technical,12,-5.929768880208333,-5.868408203125,0.06136067708333304
