token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
8111, Royal,15,-5.589388020833334,-4.963004557291667,0.626383463541667
5428, army,12,-4.139078776041667,-3.712158203125,0.42692057291666696
12092, coup,10,-1.169805908203125,-0.7688018798828125,0.40100402832031246
14853, Parad,12,-2.4795430501302085,-2.0969136555989585,0.38262939453125
16952, Thailand,137,-2.380851773449974,-2.0173660334009322,0.3634857400490419
5654, scientific,17,-5.43603515625,-5.09130859375,0.3447265625
8395, chances,10,-4.717333984375,-4.37950439453125,0.33782958984375
1582, par,10,-5.89879150390625,-5.577734375,0.3210571289062498
7884, Family,12,-4.3359018961588545,-4.020381927490234,0.3155199686686201
4222, Please,15,-3.1919527689615887,-2.8794810851415,0.31247168382008894
35921, Boxing,30,-2.4204950014750164,-2.1110965092976888,0.3093984921773276
817,Th,20,-3.8053590774536135,-3.5121585845947267,0.2932004928588867
21576, boxing,88,-3.92689603025263,-3.6445816917852922,0.28231433846733767
8976, rival,10,-5.32197265625,-5.04033203125,0.28164062499999964
1124,akes,10,-2.431063985824585,-2.14966824054718,0.28139574527740496
1086, Bl,19,-4.8549660130550985,-4.578834784658332,0.27613122839676674
3825, Sun,10,-6.6364808797836305,-6.375240886211396,0.26123999357223493
6995, Houston,10,-2.279480719566345,-2.0191444158554077,0.2603363037109374
21199, Southeast,12,-3.8988545735677085,-3.643829345703125,0.2550252278645835
3598, seven,31,-5.475050403225806,-5.221207157258065,0.2538432459677411
14466, Former,10,-6.22421875,-5.983251953125,0.240966796875
294, th,23,-3.930311742036239,-3.6898614427317744,0.24045029930446438
10498, HIV,27,-2.4319482026276766,-2.1958996808087385,0.2360485218189381
1509, sw,11,-4.6589133522727275,-4.426602450284091,0.2323109019886367
1007, trans,14,-4.850481305803571,-4.620370047433036,0.2301112583705356
11133, CBS,10,-4.171923828125,-3.94892578125,0.22299804687500036
833, Tr,12,-5.405574907859166,-5.185323387384415,0.2202515204747515
7846, ticket,12,-3.7731781005859375,-3.5532328287760415,0.21994527180989598
9354, roster,12,-4.388203938802083,-4.183186848958333,0.20501708984375
6076, spring,11,-6.951704545454546,-6.746981534090909,0.2047230113636367
4372,rd,14,-2.32661315373012,-2.124077251979283,0.2025359017508368
6046, Middle,18,-3.623854319254557,-3.425031450059679,0.19882286919487813
247,�,2775,-1.5049772849383656,-1.3069409677144643,0.19803631722390125
536, Th,26,-4.640035482553335,-4.444144542400654,0.19589094015268138
140,�,12,-2.2524515787760415,-2.0573221842447915,0.19512939453125
7740, Asian,16,-3.3438634872436523,-3.149496555328369,0.1943669319152832
18692, Desert,11,-4.033192027698863,-3.8392333984375,0.1939586292613633
10636, deputy,10,-5.16865234375,-4.97763671875,0.19101562499999947
1380, Ph,33,-3.410943472024166,-3.220694874272202,0.1902485977519639
8202,BO,14,-1.5840162549700056,-1.3944663320268904,0.18954992294311523
