token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
7915, regional,11,-7.027277166193182,-6.7624289772727275,0.26484818892045414
4360,but,17,-2.284079159007353,-2.088360954733456,0.19571820427389675
2671, Gl,11,-5.875477183948863,-5.6817626953125,0.1937144886363633
40051, Costume,13,-1.2503920335036058,-1.0573489849384015,0.19304304856520438
4696, Bay,11,-3.6344248164783823,-3.4935423244129526,0.1408824920654297
5134, NFL,15,-2.63876953125,-2.5166829427083335,0.12208658854166643
13257, museum,12,-3.5374043782552085,-3.4177754720052085,0.11962890625
9965, lunch,15,-5.13125,-5.017985026041667,0.11326497395833268
17824, DNC,17,-1.2999554802389706,-1.187744140625,0.11221133961397056
1734,ene,12,-1.4299941062927246,-1.318790356318156,0.11120374997456861
10317, lens,13,-3.7002798227163463,-3.5922217735877404,0.10805804912860584
14699, Hub,11,-5.238881197842685,-5.133080915971235,0.10580028187144919
9299, interviews,13,-5.379766610952524,-5.274485661433293,0.10528094951923084
8313, edition,14,-4.338658469063895,-4.237118857247489,0.10153961181640625
4956, Democrats,11,-2.5478571111505683,-2.448219992897727,0.09963711825284127
3457, Inc,30,-3.0865103801091514,-2.988373041152954,0.09813733895619725
13872, Close,12,-1.8581272264321644,-1.7636917531490326,0.09443547328313184
1766, Co,16,-5.805436134338379,-5.711277961730957,0.09415817260742188
16179, careers,10,-4.947802734375,-4.854150390625,0.09365234375000053
38683, Friendly,10,-0.8671176433563232,-0.7756038427352905,0.09151380062103276
11761, Liverpool,13,-3.945556640625,-3.8614032451923075,0.08415339543269251
7407,Ed,10,-2.822083282470703,-2.740062713623047,0.08202056884765607
12695, adoption,13,-1.7938654972956731,-1.7155667818509615,0.07829871544471168
8925, dynamic,11,-5.085005326704546,-5.007435191761363,0.07757013494318254
8136, solutions,16,-3.201038360595703,-3.123567581176758,0.07747077941894531
16105, Reed,12,-2.164306322733561,-2.0869455337524414,0.07736078898111964
2998,07,14,-3.472102573939732,-3.3955862862723216,0.07651628766741059
5094, Public,17,-5.082876878626206,-5.006627026726218,0.07624985189998856
1774, proper,14,-7.102120535714286,-7.029715401785714,0.07240513392857117
26269, lent,10,-2.8413040161132814,-2.7697174072265627,0.07158660888671875
1058, :,32,-2.3351534754037857,-2.2648305147886276,0.07032296061515808
264, s,31,-6.121195131732572,-6.051488522560366,0.06970660917220606
647,mer,11,-2.25612380287864,-2.1889046755704014,0.06721912730823876
4377, Any,13,-7.793269230769231,-7.726262019230769,0.06700721153846168
11663, managers,13,-4.696965144230769,-4.6305401141826925,0.06642503004807665
6305, Watch,11,-5.02081923051314,-4.95490195534446,0.06591727516867962
48444, Bicycle,10,-3.2473052978515624,-3.181834411621094,0.06547088623046848
9396, bowl,15,-2.6640034993489583,-2.599922688802083,0.06408081054687509
10599,rot,10,-0.44823427200317384,-0.38485112190246584,0.063383150100708
3053, email,34,-2.3262539716327892,-2.2642858028411865,0.06196816879160272
3194, written,31,-4.02604010797316,-3.964903308499244,0.06113679947391626
4330, fighting,24,-4.517791748046875,-4.459269205729167,0.05852254231770804
4898, wood,10,-2.1574745178222656,-2.0995151519775392,0.057959365844726385
1275, ca,12,-6.598470052083333,-6.541178385416667,0.057291666666666075
10490, Sarah,10,-3.865185546875,-3.808203125,0.05698242187499991
672,ob,19,-2.392592185421994,-2.335930811731439,0.05666137369055502
7634, strongly,16,-5.880336761474609,-5.823822021484375,0.056514739990234375
2337,ights,10,-2.5760578393936155,-2.5205873608589173,0.05547047853469822
13505, WW,12,-4.4912109375,-4.435750325520833,0.05546061197916696
15844, lyrics,13,-2.363506610576923,-2.308161808894231,0.05534480168269207
5658, Thomas,17,-3.4417572021484375,-3.386526724871467,0.05523047727697028
8747, violation,12,-2.2745564778645835,-2.2200291951497397,0.05452728271484375
3701, Air,16,-3.410877227783203,-3.3563613891601562,0.054515838623046875
2478, development,35,-2.89984130859375,-2.8459891183035713,0.053852190290178736
4885, Western,22,-4.4025656960227275,-4.349287553267046,0.05327814275568166
6763, cro,11,-3.215398528359153,-3.1628311330621894,0.052567395296963415
536, Th,10,-7.512001991271973,-7.460078620910645,0.05192337036132777
2041, special,43,-4.4126989481061,-4.3610838651657104,0.051615082940389634
3717, 2009,17,-2.7901898552389706,-2.73858642578125,0.05160342945772056
10018, Ros,11,-6.380404385653409,-6.329179243607954,0.05122514204545503
3376, correct,12,-4.713918050130208,-4.662841796875,0.05107625325520804
8754, thrown,10,-4.35458984375,-4.303857421875,0.05073242187500071
5358, conflict,12,-2.4788103103637695,-2.428150177001953,0.050660133361816406
2665, section,16,-3.600924402475357,-3.5504976511001587,0.050426751375198364
10421, holes,10,-3.057262420654297,-3.006944274902344,0.050318145751953036
3574, From,20,-6.20390625,-6.15496826171875,0.04893798828125018
7527,rich,12,-5.160659035046895,-5.112281441688538,0.04837759335835745
7018, elected,13,-1.8151127741887019,-1.7668363131009615,0.04827646108774042
6979, gift,22,-2.3891651847145776,-2.3411006927490234,0.04806449196555418
411,res,15,-1.3037546237309774,-1.2557933727900188,0.0479612509409586
4999, confirmed,20,-3.729815673828125,-3.68284912109375,0.046966552734375
6937, constant,10,-5.956787109375,-5.9105712890625,0.04621582031249982
7506, passion,14,-5.529506138392857,-5.483328683035714,0.04617745535714235
6490, adults,19,-2.0749126233552633,-2.0287507709703947,0.046161852384868585
5690, votes,14,-2.201026371547154,-2.155005318777902,0.04602105276925217
4601, wish,27,-5.2348813657407405,-5.1889467592592595,0.045934606481480955
14855, unfortunate,10,-7.1419921875,-7.0970703125,0.044921875
4706, manager,21,-2.4610717864263627,-2.416522298540388,0.04454948788597468
11821, spokesperson,10,-4.71455078125,-4.67021484375,0.044335937499999645
4007, purpose,15,-3.624803670247396,-3.580613708496094,0.044189961751301965
13113, Edge,10,-4.972607421875,-4.9288818359375,0.043725585937499645
6087, combination,15,-5.718098958333333,-5.675260416666666,0.042838541666666785
6129, fly,11,-6.291015625,-6.248224431818182,0.04279119318181834
4451, smart,16,-5.212158203125,-5.1695556640625,0.0426025390625
4186, Tom,29,-3.178978624015019,-3.137025635817955,0.041952988197063945
6342, Paris,12,-5.856547037760417,-5.81494140625,0.04160563151041696
2310, 21,25,-4.920673828125,-4.8791259765625,0.04154785156250007
5230, internet,22,-3.4876428950916636,-3.4462738904086025,0.04136900468306104
9136, substance,10,-4.4955078125,-4.454204559326172,0.04130325317382777
349,ol,40,-1.175982940196991,-1.1352735251188277,0.04070941507816328
7406, Next,13,-4.910169509740976,-4.870959135202261,0.03921037453871534
410, v,15,-5.116743723551433,-5.077742004394532,0.03900171915690098
9573, diversity,10,-3.957981491088867,-3.918992042541504,0.03898944854736319
5625, applied,12,-3.1735432942708335,-3.1346842447916665,0.03885904947916696
3283, carry,18,-3.946926540798611,-3.908114963107639,0.03881157769097232
17354,Updated,11,-3.886263760653409,-3.847556374289773,0.03870738636363624
7183, readers,10,-4.072198486328125,-4.033685302734375,0.03851318359375
3878, Great,10,-6.2318359375,-6.193359375,0.038476562499999645
3159, screen,20,-3.7751125514507295,-3.736650598049164,0.03846195340156555
5565, Android,21,-3.3473933991931735,-3.3089819181533087,0.0384114810398648
14703, Reds,15,-1.6736368815104166,-1.6352396647135417,0.03839721679687491
33639, Geek,11,-4.500577807426453,-4.4623143239454786,0.03826348348097408
4870, owner,23,-3.466219363005265,-3.428064595098081,0.038154767907184084
1389,ined,10,-1.704033088684082,-1.6661344528198243,0.03789863586425768
25006, methane,26,-1.5864116962139423,-1.5488680326021635,0.037543663611778744
6142, environmental,12,-4.586507161458333,-4.549072265625,0.03743489583333304
6393, essential,12,-4.860107163588206,-4.822997709115346,0.03710945447286029
8756, alien,15,-4.566341145833333,-4.529427083333333,0.03691406250000018
6289, Club,14,-3.6775643484933034,-3.640705108642578,0.036859239850725256
5845, Those,11,-6.554332386363637,-6.517755681818182,0.03657670454545503
3714, throw,15,-6.240494791666666,-6.204036458333333,0.03645833333333304
626,vel,12,-1.6299064060052235,-1.5935871104399364,0.036319295565287124
6949, anyway,10,-6.646099853515625,-6.609979248046875,0.03612060546875018
294, th,18,-4.960150824652778,-4.924207899305555,0.03594292534722232
10374,Bar,10,-6.006239891052246,-5.970396232604981,0.03584365844726545
8224, complaint,11,-2.904751864346591,-2.869140625,0.03561123934659083
8434, inner,14,-4.439627511160714,-4.404052734375,0.03557477678571441
18565,Love,14,-4.585911342075893,-4.550517490931919,0.035393851143973976
1167, inf,10,-5.8232421875,-5.787890625,0.03535156249999982
4957, daughter,22,-1.8133322975852273,-1.7782259854403408,0.035106312144886465
2327,35,11,-3.9292692704634233,-3.894223993474787,0.03504527698863624
5417, sea,29,-3.2568401468211206,-3.2221700734105605,0.034670073410560054
7848, alongside,10,-6.060546875,-6.02587890625,0.03466796875
6464, receiving,11,-4.238414417613637,-4.203746448863637,0.03466796875
4384, debate,29,-3.2334626296470903,-3.1992400596881736,0.034222569958916704
11423,specific,10,-2.177130126953125,-2.1429489135742186,0.03418121337890634
7362, exposed,10,-4.0829345703125,-4.0489501953125,0.03398437500000018
7602, politicians,20,-3.8933319091796874,-3.859649658203125,0.03368225097656241
11328, Warren,12,-3.7170982360839844,-3.6836074193318686,0.03349081675211574
4844, none,12,-5.032864252726237,-4.999640782674153,0.033223470052083925
2402, upon,31,-4.267487310594128,-4.2347702518586186,0.032717058735509674
7,(,44,-3.36834792657332,-3.335720669139515,0.03262725743380468
