token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
251,�,1276,-2.912272615585955,-2.185481765427186,0.726790850158769
246,�,129,-4.52134939681652,-3.855178670365681,0.6661707264508387
250,�,1352,-3.4066827819192196,-2.882109428298544,0.5245733536206756
837," ,",42,-3.0987059332075573,-2.6215106702986217,0.47719526290893555
294, th,13,-5.342283835777869,-4.9193411607008715,0.4229426750769978
38691, cardinal,12,-3.528752644856771,-3.1963221232096353,0.3324305216471357
23137, waking,12,-4.478922526041667,-4.153076171875,0.32584635416666696
48444, Bicycle,10,-3.2473052978515624,-2.9446762084960936,0.30262908935546884
13329, Wayne,14,-3.8464529854910716,-3.546657017299107,0.2997959681919644
6076, spring,11,-4.4728781960227275,-4.183948863636363,0.2889293323863642
6228, flat,11,-7.270063920454546,-6.982244318181818,0.2878196022727275
2124, x,11,-2.658058860085227,-2.3774469549005683,0.2806119051846587
5766, factor,10,-4.268541288375855,-3.994026947021484,0.2745143413543705
6507, sad,14,-5.720145089285714,-5.461774553571429,0.2583705357142856
4003, notice,11,-2.5491821224039253,-2.304110819643194,0.2450713027607314
9817, Roy,16,-4.138641357421875,-3.8961105346679688,0.24253082275390625
299, n,27,-5.059111860063341,-4.8167733616299095,0.24233849843343158
23810,Monday,12,-3.0113525390625,-2.7712198893229165,0.24013264973958348
6766, sky,19,-2.610516259544774,-2.372128875632035,0.23838738391273928
21247, poem,10,-3.1962203979492188,-2.9596847534179687,0.2365356445312501
7791, scheme,10,-3.6037078857421876,-3.3819366455078126,0.221771240234375
3104,68,11,-2.9579855745488945,-2.7370534159920434,0.2209321585568511
409, ex,14,-5.569475446428571,-5.348842075892857,0.2206333705357144
2378, item,19,-3.3726445248252466,-3.1521686754728617,0.22047584935238485
10092, dramatic,12,-5.75048828125,-5.5302734375,0.22021484375
9240, arrive,11,-5.432262073863637,-5.212313565340909,0.21994850852272751
11328, Warren,21,-1.6032228413082303,-1.3867113363175165,0.2165115049907138
3551, write,24,-3.8415934244791665,-3.6321207682291665,0.20947265625
3825, Sun,13,-3.5407480093149037,-3.3374352088341346,0.20331280048076916
6810, noticed,17,-5.521024816176471,-5.317899816176471,0.203125
5085, residents,37,-3.381148892479974,-3.179370725477064,0.20177816700291018
5096, insurance,13,-3.5425321138822117,-3.3459613506610575,0.1965707632211542
9687, complaints,11,-4.871937144886363,-4.677157315340909,0.19477982954545414
4928, church,13,-2.868351862980769,-2.6761756310096154,0.19217623197115374
11058, Entertainment,12,-2.684699376424154,-2.492741902669271,0.1919574737548828
3613, save,10,-5.191015625,-4.9998046875,0.19121093750000018
1902, Gr,10,-4.64763298034668,-4.456962776184082,0.19067020416259783
7765, wake,22,-3.7887767444957388,-3.599601052024148,0.18917569247159083
764, .,57,-2.398695895546361,-2.211341188665022,0.18735470688133926
6095, seeking,14,-4.445731026785714,-4.259974888392857,0.18575613839285765
7055, Michigan,11,-4.239107998934659,-4.055608575994318,0.18349942294034083
4536, prices,10,-2.434503173828125,-2.2532012939453123,0.18130187988281277
15381, shifts,10,-3.7952392578125,-3.61689453125,0.1783447265625
331, y,12,-6.353457132975261,-6.1758270263671875,0.1776301066080732
7396, rising,14,-5.424107142857143,-5.24658203125,0.17752511160714324
2436,bl,11,-1.1137429584156384,-0.9367862181230024,0.17695674029263597
943, Ar,16,-3.5500919818878174,-3.373859167098999,0.17623281478881836
6623, resident,11,-3.55517578125,-3.3793501420454546,0.17582563920454541
6943,Most,12,-6.562825520833333,-6.388834635416667,0.17399088541666607
8970, locked,11,-4.945478959517046,-4.7718505859375,0.17362837357954586
5057, debt,12,-2.9370930989583335,-2.765066146850586,0.17202695210774754
1086, Bl,29,-3.4365739493534484,-3.264795763739224,0.1717781856142242
9019,ui,11,-1.7829070416363804,-1.6113835789940574,0.171523462642323
3568, appears,30,-4.268082682291666,-4.096875,0.1712076822916666
8030, friendly,10,-4.6623046875,-4.49150390625,0.17080078124999964
6821, injuries,17,-1.6294330148135914,-1.4590232232037712,0.17040979160982017
3265, population,19,-2.2492997018914473,-2.0808298211348686,0.16846988075657876
2879,ino,12,-0.8114015360673269,-0.6430017153422037,0.16839982072512316
1070, ext,10,-5.24072265625,-5.0752685546875,0.16545410156250018
4999, confirmed,33,-3.7046800671201763,-3.5393924857630874,0.16528758135708888
2347, mass,19,-4.272514142488179,-4.108395626670436,0.1641185158177425
16549,Clinton,12,-2.8683268229166665,-2.704345703125,0.16398111979166652
12341, AF,10,-3.685308837890625,-3.523492431640625,0.16181640624999982
8733, restrictions,10,-3.730419921875,-3.5689453125,0.1614746093749999
7406, Next,10,-5.9022480010986325,-5.7431999206542965,0.15904808044433594
12228, operated,13,-5.6787109375,-5.519756610576923,0.15895432692307665
30029, Philly,11,-5.3639914772727275,-5.205743963068182,0.15824751420454586
575, Y,63,-3.4635734671638128,-3.3053414764858426,0.1582319906779701
7784,bound,14,-1.3633359500340052,-1.2064882005964006,0.1568477494376046
12477, Metro,12,-3.7763671875,-3.61956787109375,0.15679931640625
20997, BP,16,-2.529521942138672,-2.3727645874023438,0.15675735473632812
4771, ice,21,-3.845086233956473,-3.6890985398065474,0.15598769414992564
551, en,13,-5.266902043269231,-5.111177884615385,0.1557241586538458
4165, primary,27,-3.296777513292101,-3.1411093252676503,0.1556681880244506
5868,PM,10,-1.8057586669921875,-1.650299072265625,0.15545959472656246
5939, markets,18,-2.4424650404188366,-2.2873204549153647,0.15514458550347188
