token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
3274, First,17,-6.827837775735294,-6.3376321231617645,0.4902056525735299
8177, legend,13,-3.9315279447115383,-3.5791766826923075,0.35235126201923084
7381, Mir,12,-5.714121500651042,-5.388356526692708,0.3257649739583339
8714, titles,12,-2.7174479166666665,-2.3953653971354165,0.32208251953125
962,ank,10,-2.2454272270202638,-1.9365923881530762,0.30883483886718754
10551, NSA,22,-3.726035378196023,-3.428921786221591,0.2971135919744321
1086, Bl,17,-5.668148265165441,-5.379419438979205,0.28872882618623574
11820, Vin,13,-3.370722844050481,-3.1135582557091346,0.25716458834134626
7334, grown,10,-3.638525390625,-3.40595703125,0.2325683593750001
6673, adds,12,-3.7222493489583335,-3.5005696614583335,0.2216796875
3877, charge,29,-2.1343336968586364,-1.9200059792091106,0.21432771764952574
5583, committee,27,-3.1431206597222223,-2.940834327980324,0.20228633174189836
27552, surrog,19,-1.5964259097450657,-1.3963639108758223,0.20006199886924336
8982, Jason,10,-5.290625,-5.0931640625,0.1974609375000007
8720, officially,12,-5.177321394284566,-4.9999130964279175,0.17740829785664847
14745, 1981,10,-4.40201416015625,-4.2273193359375,0.1746948242187507
26351, Manafort,12,-2.6803563435872397,-2.5111358165740967,0.16922052701314305
10241, pregnancy,18,-2.8871421813964844,-2.721841812133789,0.1653003692626953
1951, Christ,19,-2.7693722373560856,-2.6051555432771383,0.16421669407894735
11663, managers,10,-4.055718994140625,-3.8924224853515623,0.16329650878906232
6423,Then,15,-5.291536458333334,-5.128385416666666,0.1631510416666675
3835, books,20,-3.405340576171875,-3.242230224609375,0.1631103515625001
8688, worldwide,12,-5.84228515625,-5.680989583333333,0.16129557291666696
3026, civil,29,-3.795568005792026,-3.63567957384833,0.15988843194369595
943, Ar,14,-5.468453543526786,-5.312273297991071,0.1561802455357144
7884, Family,22,-4.216633189808238,-4.061476273970171,0.15515691583806746
3228,!!,10,-4.961865234375,-4.8075439453125,0.15432128906249964
2860,add,13,-1.0429068620388324,-0.8893313041100135,0.15357555792881894
251,�,1478,-2.475780974221649,-2.322994116355989,0.15278685786566015
15923, AA,11,-2.719815340909091,-2.5672718394886362,0.15254350142045459
250,�,1536,-3.250862849255403,-3.101164142290751,0.14969870696465204
14257, debug,10,-4.5326171875,-4.38359375,0.14902343749999947
6774, brings,13,-5.259938166691707,-5.111596914438101,0.14834125225360584
6537, realize,16,-3.8956298828125,-3.74871826171875,0.14691162109375
5726, entry,11,-4.169276844371449,-4.024695656516335,0.1445811878551142
6427, passing,17,-6.256232766544118,-6.112979664522059,0.14325310202205888
4599, Good,11,-5.047071977095171,-4.90610088001598,0.14097109707919042
11228, gathering,11,-5.606747367165306,-5.466296889565208,0.14045047760009766
354,ch,27,-1.728556716883624,-1.5887649677417897,0.13979174914183434
2763,ham,18,-0.96905208296246,-0.8316434886720445,0.13740859429041552
8603, equally,10,-5.158447265625,-5.0267578125,0.13168945312500036
4829, kick,12,-4.697774251302083,-4.56768798828125,0.13008626302083304
5201, finished,26,-4.757784329927885,-4.627863957331731,0.1299203725961542
7384, attacked,17,-3.0841997931985294,-2.954855526194853,0.12934426700367663
19822, homosexuality,18,-1.9760267469618056,-1.8477918836805556,0.12823486328125
8437, Miami,16,-2.9253158569335938,-2.7973098754882812,0.1280059814453125
6653,His,21,-5.290364583333333,-5.164713541666667,0.12565104166666607
5537, Prime,19,-2.651845831620066,-2.5264507092927633,0.12539512232730265
7907, captured,11,-5.473997636274858,-5.3504300550981005,0.12356758117675781
14264, McCain,21,-2.7081182570684526,-2.5850132533482144,0.12310500372023814
5278, Frank,11,-5.326373013583097,-5.206462513316762,0.11991050026633499
11363, sexually,14,-3.7393973214285716,-3.6201869419642856,0.11921037946428603
7475, letters,12,-3.0578155517578125,-2.9387308756510415,0.11908467610677098
9301, banned,13,-4.298602764423077,-4.180438701923077,0.1181640625
492,..,11,-5.231107451698997,-5.113175218755549,0.11793223294344823
8781, lets,10,-5.12421875,-5.00703125,0.1171875
9154, tape,14,-1.2818783351353236,-1.1647044590541296,0.117173876081194
4983, served,24,-4.4860483805338545,-4.371541341145833,0.11450703938802143
5533, Islamic,11,-3.251686789772727,-3.1375787908380683,0.11410799893465873
30828, Boat,10,-2.5376251220703123,-2.425640869140625,0.1119842529296875
19751, cookie,11,-3.8736072887073862,-3.7618519176136362,0.11175537109375
3141, command,14,-5.626325334821429,-5.514735630580357,0.11158970424107206
3491, star,27,-3.3032384801793984,-3.19207763671875,0.11116084346064836
9412, discovery,11,-5.566095525568182,-5.455610795454546,0.1104847301136358
3730, guys,19,-4.916221217105263,-4.8061266447368425,0.11009457236842035
6586, Toronto,17,-2.392598439665402,-2.2830047186683204,0.10959372099708142
24249, bisexual,20,-3.3115501403808594,-3.202119064331055,0.10943107604980451
4875, digital,14,-6.131138392857143,-6.021763392857143,0.109375
6856, controlled,10,-5.354754638671875,-5.24730224609375,0.107452392578125
6868, native,16,-3.8080109506845474,-3.700802505016327,0.10720844566822052
7831, Still,11,-6.017544833096591,-5.910762440074574,0.10678239302201664
5704, taxes,21,-1.5487329392206102,-1.4419904436383928,0.10674249558221738
9739, entertainment,14,-4.341182163783482,-4.234885079520089,0.10629708426339235
28067, gays,11,-4.3449928977272725,-4.239080255681818,0.10591264204545414
598, app,16,-2.9084179997444153,-2.8033251762390137,0.10509282350540161
4274, double,15,-5.196207682291667,-5.091276041666666,0.10493164062500071
10158, handed,11,-6.235384854403409,-6.130633267489347,0.1047515869140625
17150, fathers,14,-3.138916015625,-3.0354483468191966,0.10346766880580338
10688, math,15,-3.1445963541666666,-3.041145833333333,0.10345052083333339
17162, murders,11,-4.2121360085227275,-4.109241832386363,0.1028941761363642
5584, motor,14,-3.7743617466517856,-3.6727120535714284,0.1016496930803572
7779, truck,14,-2.996730259486607,-2.8954554966517856,0.10127476283482162
11989, sons,11,-4.060413707386363,-3.9592950994318183,0.10111860795454497
9764, Hong,11,-4.584754597056996,-4.483671188354492,0.10108340870250387
6411, seriously,19,-3.761916311163651,-3.6611809981496712,0.10073531301397987
479, k,11,-5.2578125,-5.1574928977272725,0.10031960227272751
7427, awesome,12,-5.26312255859375,-5.163045247395833,0.10007731119791696
13854, Craig,15,-4.829986063639323,-4.7307490030924475,0.09923706054687553
42235, Grammy,13,-2.2946988619290867,-2.195622370793269,0.09907649113581751
1869, Man,27,-2.6334155400594077,-2.5344458332768194,0.09896970678258832
528,iz,10,-0.7753060340881348,-0.6765986442565918,0.09870738983154304
5514, Only,16,-6.5504150390625,-6.45208740234375,0.09832763671875
277, f,31,-6.411302135836694,-6.313315114667339,0.09798702116935498
872, ph,11,-7.3283469460227275,-7.230646306818182,0.09770063920454586
7025, broadcast,11,-4.676138379357078,-4.578837242993441,0.09730113636363669
698, bl,21,-6.5610723949614025,-6.4659940628778365,0.09507833208356598
4049, error,12,-1.745107650756836,-1.6501518487930298,0.09495580196380615
