token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
6952, Thank,15,-4.690292890866598,-4.457195536295573,0.23309735457102487
8507, reputation,10,-3.9979248046875,-3.7818603515625,0.216064453125
4048, female,12,-4.423844655354817,-4.2555592854817705,0.16828536987304688
22218, Aurora,13,-5.043468181903545,-4.882008772629958,0.16145940927358726
4295, wild,16,-3.3308868408203125,-3.1890716552734375,0.141815185546875
8096, featured,19,-5.496954666940789,-5.359927528782895,0.1370271381578947
3180, IS,12,-4.209604660669963,-4.081912835439046,0.12769182523091693
29499,BF,11,-1.0329921462319114,-0.9136255004189231,0.11936664581298828
10395, reserved,14,-2.345926650932857,-2.229982452733176,0.11594419819968094
10821, Cameron,15,-2.837566121419271,-2.7271705627441407,0.11039555867513018
3194, written,30,-4.410944449901581,-4.304515544573466,0.10642890532811489
10383, Below,15,-2.012676135698954,-1.9107235113779704,0.10195262432098384
4266, schools,22,-2.3344365900213067,-2.2351740056818183,0.09926258433948831
36952, Alvarez,21,-2.99560546875,-2.900971912202381,0.09463355654761907
26114,Pad,19,-0.7785102442691201,-0.6849361218904194,0.09357412237870066
1033, exp,10,-4.2492431640625,-4.1590576171875,0.09018554687500036
833, Tr,14,-5.741842406136649,-5.652347019740513,0.08949538639613586
5846, 44,16,-7.184326171875,-7.0958251953125,0.0885009765625
3529,ero,10,-1.175327205657959,-1.0897029519081116,0.08562425374984728
7244, Adam,23,-4.510287740956182,-4.424796726392663,0.0854910145635186
21933, comeback,10,-5.0378662109375,-4.9541748046875,0.08369140624999982
3020,mm,26,-0.6461614278646616,-0.5647998406336858,0.08136158723097575
3056, oil,18,-3.0230530632866754,-2.9420899285210504,0.080963134765625
7427, awesome,10,-5.016796875,-4.93828125,0.07851562499999964
14372, Baker,13,-1.928602227797875,-1.851788511643043,0.0768137161548319
1703, Am,12,-4.806073347727458,-4.7300567626953125,0.07601658503214548
3588, aren,33,-3.9716205018939394,-3.900686553030303,0.07093394886363624
27084, Lucifer,12,-4.046630859375,-3.9757486979166665,0.07088216145833348
9757, Vill,24,-2.3721275329589844,-2.301455497741699,0.07067203521728516
3334, High,13,-1.9674457403329701,-1.8986354974599986,0.06881024287297155
1525,by,26,-2.687456020942101,-2.6186547187658458,0.06880130217625524
4530, charges,27,-2.3655327690972223,-2.296985767505787,0.06854700159143512
1961,ED,17,-0.6391015894272748,-0.5720561251920813,0.06704546423519353
4724, guess,12,-4.309488932291667,-4.244303385416667,0.065185546875
8919, Minnesota,24,-3.6643473307291665,-3.5992329915364585,0.06511433919270804
5262, attend,11,-2.822176846590909,-2.757723721590909,0.064453125
10952, Belg,11,-2.865234375,-2.8019353693181817,0.06329900568181834
2822, buy,32,-3.5749893188476562,-3.5140151977539062,0.06097412109375
31049, humour,10,-1.26571044921875,-1.2048095703125,0.06090087890625018
457,pt,13,-1.829470735329848,-1.7686618749911969,0.06080886033865118
26345, Pont,12,-2.9607489705085754,-2.9005686541398368,0.06018031636873866
5127, supply,21,-4.560654413132441,-4.5020751953125,0.05857921781994069
18836, cricket,12,-2.8120396931966147,-2.754685719807943,0.057353973388671875
15899, Spot,10,-8.462300109863282,-8.404962158203125,0.057337951660157316
4765, Security,21,-1.3930466969807942,-1.3382659809929984,0.05478071598779577
4483, eat,10,-4.539193725585937,-4.484891891479492,0.05430183410644496
10824, credits,12,-3.601243336995443,-3.5470046997070312,0.054238637288411606
9645, firing,10,-4.662005996704101,-4.607903671264649,0.05410232543945259
1086, Bl,11,-5.571483091874556,-5.5179688930511475,0.05351419882340824
9768, 1992,10,-3.0706817626953127,-3.0174652099609376,0.05321655273437509
9112, loyal,10,-6.532177734375,-6.480242919921875,0.051934814453124645
6260, writer,11,-2.7713875337080522,-2.7204130346124824,0.050974499095569836
6672, afternoon,20,-3.355517578125,-3.304931640625,0.05058593750000018
5726, entry,12,-3.328221638997396,-3.277704874674479,0.05051676432291696
3825, Sun,14,-3.869504656110491,-3.8203332083565846,0.04917144775390625
1312, i,46,-2.857690621977267,-2.8087461564851846,0.04894446549208231
13853, surge,11,-4.309481534090909,-4.260875355113637,0.048606178977272485
14791, ambassador,15,-1.9768798828125,-1.929681396484375,0.047198486328124956
31594, insiders,14,-2.8032618931361606,-2.7562332153320312,0.04702867780412934
7522, honor,14,-4.121930803571429,-4.075125558035714,0.04680524553571441
21059, Hash,10,-3.154443359375,-3.1076904296875,0.0467529296875
6025, Virginia,17,-2.9234542285694793,-2.8768560746136833,0.04659815395579603
3734, fine,20,-4.82402024269104,-4.7777057647705075,0.04631447792053223
5045, Tim,10,-3.378438377380371,-3.3325390338897707,0.04589934349060032
20397,Hillary,12,-2.7544113794962564,-2.709238847096761,0.04517253239949515
3926, …,35,-6.6423270089285715,-6.597488839285714,0.04483816964285747
5481, Bur,10,-3.8019559025764464,-3.757425308227539,0.04453059434890738
5510, African,23,-3.5349320121433423,-3.4909322987432065,0.043999713400135754
12369, Oakland,14,-2.5729893275669644,-2.5296739850725447,0.043315342494419706
348, wh,20,-5.0536865234375,-5.01053466796875,0.04315185546875
5398, Canadian,14,-4.024937220982143,-3.9823172433035716,0.04261997767857162
13279, shake,10,-4.58282470703125,-4.54095458984375,0.0418701171875
9327, Station,10,-3.717502212524414,-3.6758879661560058,0.04161424636840838
6898, owned,14,-3.5935494559151784,-3.552333286830357,0.041216169084821175
5909, vast,13,-5.992788461538462,-5.951923076923077,0.040865384615385025
6175, giant,10,-5.7458984375,-5.7060546875,0.03984375000000018
1370,line,19,-1.3282306382530613,-1.2884107828140259,0.039819855439035434
10307, ranked,14,-4.850254603794643,-4.810529436383929,0.03972516741071441
4689, La,26,-4.124963897925157,-4.085443010696998,0.03952088722815894
4508, brand,14,-4.890712193080357,-4.851545061383929,0.03916713169642794
9721, overwhelming,11,-5.630903764204546,-5.591830166903409,0.03907359730113669
14053,USA,13,-0.8629344059870794,-0.8238824697641226,0.039051936222956773
22025, Sto,11,-3.2637252049012617,-3.2249288233843716,0.03879638151689013
3886,By,17,-5.7165670955882355,-5.6779641544117645,0.038602941176471006
3047, training,33,-4.162282307942708,-4.123837557705966,0.03844475023674221
1052, An,34,-5.731188388431773,-5.693159965907826,0.038028422523947114
3392, ones,26,-3.856055919940655,-3.8183492513803334,0.03770666856032179
2702, sold,25,-3.09103515625,-3.053564453125,0.03747070312499989
7029,400,10,-5.1393798828125,-5.1020263671875,0.037353515625
6979, gift,18,-5.170681423611111,-5.133748372395833,0.03693305121527768
1278, gl,14,-7.719587053571429,-7.683035714285714,0.03655133928571441
5717, filed,18,-3.2302313910590277,-3.1941392686631946,0.03609212239583304
7110, plot,12,-4.458333333333333,-4.4222412109375,0.03609212239583304
1332, test,25,-3.4022740936279297,-3.3663361740112303,0.03593791961669934
4570, 36,11,-6.198042436079546,-6.162153764204546,0.035888671875
5300, feels,24,-5.34429931640625,-5.30859375,0.03570556640625
3769, provides,22,-5.430852716619318,-5.395152698863637,0.03570001775568166
4395, shooting,28,-4.096472467694964,-4.060788631439209,0.035683836255755
12543,fun,17,-0.2731962344225715,-0.23771926935981302,0.03547696506275849
321,am,44,-0.7320789803158153,-0.6966556717048992,0.03542330861091614
11503, priest,11,-2.662076083096591,-2.6266978870738638,0.03537819602272707
8838, Scotland,10,-4.80078125,-4.76552734375,0.035253906250000355
6655, surprised,13,-4.132173978365385,-4.0972430889423075,0.03493088942307754
2742, legal,45,-3.7845365736219616,-3.7496153089735245,0.034921264648437145
5804, believes,20,-3.6046875,-3.569775390625,0.034912109375
5968, hell,12,-3.445061365763346,-3.4108047485351562,0.034256617228189956
6538, employee,10,-3.4113525390625,-3.3775634765625,0.03378906249999991
4911, express,13,-5.668438838078425,-5.634867741511418,0.033571096567007075
6136, attorney,21,-1.9767098199753534,-1.9431590125674294,0.033550807407924044
4353, 38,13,-3.6089853140024037,-3.5755709134615383,0.03341440054086542
1203,less,21,-1.346979674838838,-1.314169554483323,0.032810120355515116
2026, 50,37,-4.635635479076488,-4.60382873947556,0.0318067396009285
4518, Blue,17,-4.017978892606847,-3.9863999310661766,0.03157896154067075
7696, bridge,10,-3.4212890625,-3.390087890625,0.031201171875000266
5410, planning,13,-5.042668269230769,-5.011493389423077,0.031174879807692513
2420, text,10,-2.9848365783691406,-2.953664779663086,0.031171798706054688
4986, Secretary,17,-2.7665153952205883,-2.7353452794692097,0.031170115751378624
8024, returning,12,-6.013997395833333,-5.98291015625,0.031087239583333037
4876, task,15,-4.670512390136719,-4.639471181233724,0.031041208902994555
594,ence,15,-0.6896987994511922,-0.6594077269236247,0.030291072527567464
11605,Story,10,-1.4653846740722656,-1.4351951599121093,0.03018951416015625
3039,aging,17,-1.0562104197109448,-1.0260279318865608,0.03018248782438393
4586, Last,19,-5.042094983552632,-5.011975740131579,0.0301192434210531
11780, competing,14,-4.815255301339286,-4.785263334001813,0.029991967337472225
7583,Also,15,-6.046875,-6.016927083333333,0.029947916666666963
9475, Ministry,10,-1.795823097229004,-1.7658994674682618,0.029923629760742143
4753, definitely,26,-6.005709134615385,-5.975811298076923,0.029897836538461675
41416, Ascension,22,-1.6437999551946467,-1.613974311135032,0.029825644059614742
11004, remarkable,14,-5.965262276785714,-5.935686383928571,0.029575892857143238
1583, Dr,30,-3.81529389222463,-3.7857908248901366,0.02950306733449315
386, pro,36,-4.8914845784505205,-4.8620321485731335,0.029452429877387054
7179, Labour,22,-3.082825400612571,-3.0534522316672583,0.0293731689453125
3340, Canada,28,-2.1083334386348724,-2.0790625640324185,0.029270874602453922
10158, handed,16,-5.3974609375,-5.3682861328125,0.0291748046875
3161, prior,15,-6.075846354166667,-6.046744791666667,0.029101562500000178
334, u,13,-5.6625847449669475,-5.633743579571064,0.02884116539588355
2526, risk,38,-3.28910325702868,-3.2602966710140833,0.028806586014596736
2813, 2011,51,-3.00676864268733,-2.978009209913366,0.0287594327739642
4622, slightly,10,-6.5947265625,-6.566015625,0.028710937499999645
473, sa,22,-3.1929876154119317,-3.16455078125,0.028436834161931657
7824, API,18,-2.3677842881944446,-2.33935546875,0.028428819444444642
3613, save,21,-4.136695498511905,-4.1083490280877974,0.02834647042410765
4710, notes,13,-5.207406850961538,-5.179086538461538,0.0283203125
13750, riders,10,-2.4673095703125,-2.439111328125,0.0281982421875
4281, Council,27,-0.9016634005087393,-0.8734748186888518,0.02818858181988748
2166, front,72,-2.9775131146113076,-2.9493740465905933,0.02813906802071431
4236, agree,17,-3.777194521006416,-3.7493769000558292,0.027817620950586708
746,ph,16,-0.7091782242059708,-0.681593269109726,0.027584955096244812
1477,sh,17,-3.3752297653871426,-3.347653697518741,0.027576067868401388
6478, boss,12,-3.9320475260416665,-3.9046834309895835,0.027364095052083037
1635, *,16,-1.8551080226898193,-1.828240156173706,0.02686786651611328
634,port,18,-0.8650304940011766,-0.8382725450727675,0.026757948928409103
3110,aker,14,-0.7828815238816398,-0.7562295964785984,0.026651927403041342
3496, song,15,-4.0022832234700525,-3.9757171630859376,0.02656606038411491
12555, Chen,18,-1.599122789171007,-1.5726131863064237,0.02650960286458326
4434, Mal,14,-4.362648010253906,-4.336578369140625,0.02606964111328125
6510, boys,18,-2.6983456081814237,-2.672515869140625,0.02582973904079866
3393, immediately,22,-5.390292080965909,-5.364490855823863,0.025801225142045858
3737, perhaps,37,-6.0564558699324325,-6.03077491554054,0.025680954391892108
5400, differences,10,-3.8930908203125,-3.86744384765625,0.025646972656250266
10930, Vancouver,10,-3.41676025390625,-3.39127197265625,0.02548828124999991
9022, Which,10,-6.47265625,-6.447265625,0.025390625
5170, killing,19,-2.831904361122533,-2.806595651726974,0.02530870939555907
11541, exclusively,10,-7.4392578125,-7.4140625,0.025195312500000178
5340, impossible,15,-4.19920654296875,-4.174064127604167,0.025142415364583393
1720, product,24,-3.39132422208786,-3.366201480229696,0.02512274185816432
599, sp,27,-5.022686905331081,-4.997593923851296,0.025092981479785337
9002, jury,10,-2.386222076416016,-2.3611595153808596,0.02506256103515625
3855,Get,11,-4.892675226384943,-4.867706298828125,0.024968927556818343
8512, claiming,14,-4.436104910714286,-4.411167689732143,0.02493722098214235
1128, rep,11,-8.314985795454545,-8.290127840909092,0.024857954545453254
9585, repeat,10,-6.59873046875,-6.574072265625,0.024658203125
11831, steady,10,-5.804248046875,-5.7796875,0.024560546875000533
5114, discussion,23,-4.843638544497282,-4.819171407948369,0.024467136548913082
5658, Thomas,21,-2.7538443974086215,-2.7293996810913086,0.02444471631731293
29260, Champ,10,-3.8398889303207397,-3.8154746770858763,0.02441425323486346
6926, Women,14,-4.429122107369559,-4.4047200339181085,0.024402073451450512
4930, Two,19,-5.661500629625823,-5.637105841385691,0.02439478824013186
13164, Mormon,13,-2.321626516488882,-2.2975208575908956,0.024105658897986437
6656, Van,17,-4.776258132036994,-4.7522901647231155,0.023967967313878624
49743, fielder,11,-0.7210950417952104,-0.6972100734710693,0.02388496832414111
4502, George,32,-3.5298064947128296,-3.5059638619422913,0.02384263277053833
3893, Health,11,-3.3837779651988638,-3.3600311279296875,0.023746837269176257
9628, swing,10,-5.674685668945313,-5.651092529296875,0.023593139648437678
3952, park,17,-2.869408326990464,-2.84582025864545,0.023588068345013813
4486, Germany,27,-2.8549587108470775,-2.8314751519097223,0.02348355893735521
8171, tip,10,-2.9428940415382385,-2.9195971131324767,0.023296928405761808
8319, guest,11,-5.7466819069602275,-5.723399769176137,0.02328213778409083
4639, driver,24,-1.4560518264770508,-1.432874361673991,0.023177464803059822
6333, chain,10,-2.4114410400390627,-2.388336181640625,0.023104858398437678
5867, 300,17,-4.218274537254782,-4.195320381837733,0.02295415541704937
