token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
16013, Gay,11,-3.1155884591015903,-2.4712385697798296,0.6443498893217607
250,�,1434,-3.236593661447948,-2.6170590761815156,0.6195345852664325
3735, fat,10,-5.263427734375,-4.6887939453125,0.5746337890625002
246,�,177,-4.328726819679562,-3.792326288034687,0.5364005316448752
251,�,1358,-2.6761073303328,-2.1405400704916167,0.5355672598411831
627, qu,11,-7.277654474431818,-6.759388316761363,0.518266157670455
492,..,11,-5.740340406244451,-5.223093726418235,0.5172466798262159
10158, handed,11,-6.35938193581321,-5.89240195534446,0.46697998046875
1931, er,10,-8.938671875,-8.567578125,0.37109375
5202, flow,11,-5.12560324235396,-4.774225755171343,0.3513774871826172
10359, hip,11,-7.027288263494318,-6.6796653053977275,0.34762295809659083
837," ,",53,-3.2538577385668486,-2.9202643565411837,0.3335933820256649
3274, First,32,-5.418100833892822,-5.104626893997192,0.3134739398956299
764, .,80,-2.2748286232352255,-1.9681441172957421,0.3066845059394834
1086, Bl,21,-4.98847158182235,-4.683334123520624,0.3051374583017257
4763,ada,10,-1.061751389503479,-0.7695004105567932,0.2922509789466857
1277, direct,18,-5.671930862797631,-5.381241301695506,0.2906895611021252
11514, Olympic,14,-4.418387276785714,-4.131382533482143,0.2870047433035712
7884, Family,14,-2.751267296927316,-2.464996882847377,0.2862704140799388
299, n,19,-5.3613275728727645,-5.077462045769942,0.2838655271028223
304, e,21,-5.837731951758975,-5.558662323724656,0.27906962803431945
7636, allegations,13,-3.1753680889423075,-2.900409405048077,0.2749586838942304
171,�,14,-4.174038478306362,-3.901202610560826,0.27283586774553603
629, sc,17,-7.274003421559053,-7.0111986048081345,0.2628048167509185
2638, http,12,-4.080899556477864,-3.8230133056640625,0.2578862508138018
2332, Her,10,-6.02431640625,-5.770703125,0.2536132812499998
4162, Why,18,-4.02351008521186,-3.770990424686008,0.25251966052585173
1872,ai,32,-1.9909758120775223,-1.7396026141941547,0.25137319788336754
599, sp,21,-7.417992001488095,-7.170270647321429,0.24772135416666607
10924,ois,21,-0.3661674147560483,-0.11937434332711357,0.24679307142893475
266, w,30,-6.299918619791667,-6.063179524739583,0.23673909505208357
12916, uncomfortable,10,-5.402597045898437,-5.166058349609375,0.23653869628906232
13774, crying,12,-5.209309895833333,-4.973307291666667,0.23600260416666607
2746, model,30,-3.187896728515625,-2.952765782674154,0.2351309458414712
36279, vodka,12,-4.235677083333333,-4.004313151041667,0.23136393229166607
277, f,28,-7.403542654854911,-7.173174176897321,0.2303684779575894
4656, die,13,-3.468350337101863,-3.238021630507249,0.23032870659461402
8202,BO,13,-1.759776913202726,-1.5327254350368793,0.2270514781658466
10329, knee,11,-3.0946516557173296,-2.867611971768466,0.22703968394886376
7342, watched,13,-6.006610576923077,-5.780949519230769,0.2256610576923075
7127, hits,15,-3.7496073404947916,-3.5259735107421877,0.22363382975260393
1976, z,11,-6.492720170454546,-6.2692649147727275,0.22345525568181834
10169, Fed,15,-3.4666327555974323,-3.2451924244562784,0.2214403311411539
9738, ABC,16,-3.2606334686279297,-3.0430908203125,0.2175426483154297
10816, Mexican,11,-4.088512073863637,-3.877596768465909,0.21091530539772751
8680, listening,12,-4.043088595072429,-3.83316707611084,0.20992151896158884
3141, command,14,-4.967912946428571,-4.760576520647321,0.20733642578125
6851, posts,20,-4.208038330078125,-4.003253173828125,0.20478515624999982
442, ch,13,-6.697115384615385,-6.496394230769231,0.2007211538461542
8556, threatened,10,-5.6548828125,-5.458984375,0.19589843750000036
5483, Social,10,-3.768035888671875,-3.5725677490234373,0.19546813964843768
