token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
2601,Cl,11,-4.627835360440341,-3.9110162908380683,0.7168190696022725
9234, monster,11,-3.1577592329545454,-2.6016068892045454,0.55615234375
589,ase,10,-1.5918973684310913,-1.0598050236701966,0.5320923447608947
36298, Kyoto,23,-3.931645932404891,-3.4273469344429346,0.5042989979619565
6149, ordered,16,-4.58502197265625,-4.08966064453125,0.495361328125
8130,aka,18,-1.8492766221364338,-1.3677830696105957,0.48149355252583814
918,ren,13,-3.694931442920978,-3.2186417946448693,0.47628964827610876
9613,una,10,-1.245073175430298,-0.7718641281127929,0.473209047317505
4101, 90,11,-5.03564453125,-4.595059481534091,0.44058504971590917
13969, patrol,11,-3.8026899857954546,-3.3972722833806817,0.40541770241477293
2872, match,17,-3.1353225708007812,-2.7563175874597885,0.37900498334099275
73,j,55,-2.5072815093127163,-2.1358228336681018,0.37145867564461454
6266, orders,11,-4.7919699928977275,-4.421031605113637,0.37093838778409083
162,�,16,-2.704925537109375,-2.33465576171875,0.370269775390625
1582, par,11,-6.919566761363637,-6.554643110795454,0.36492365056818254
7204,ko,16,-1.6482163965702057,-1.2878109812736511,0.36040541529655457
10050, releases,14,-5.046107700892857,-4.690848214285714,0.35525948660714235
25324,Japanese,27,-2.938366995917426,-2.583301447055958,0.355065548861468
8361, aggressive,14,-5.134190150669643,-4.791338239397321,0.34285191127232206
21640, Ride,12,-2.362248738606771,-2.019892374674479,0.34235636393229196
5202, flow,11,-4.538595026189631,-4.21501991965554,0.32357510653409083
1452,ten,17,-2.173586564905503,-1.8531201867496265,0.32046637815587653
23043, Kaw,10,-2.72069091796875,-2.4029190063476564,0.31777191162109375
13316, Philippines,11,-2.681077090176669,-2.365561745383523,0.315515344793146
5003, cash,12,-3.817682902018229,-3.5064544677734375,0.3112284342447915
2968, popular,56,-3.452044895717076,-3.145275660923549,0.3067692347935269
13449, Classic,13,-3.359700267131512,-3.0541659868680515,0.30553428026346063
5068, commercial,23,-4.341065779976223,-4.037055803381878,0.3040099765943447
1228,aj,19,-2.261781014894184,-1.9587309987921464,0.30305001610203774
369, con,14,-4.548801967075893,-4.247297014508929,0.3015049525669644
6868, native,10,-4.552734375,-4.253369140625,0.2993652343750002
11292, overseas,17,-5.946231617647059,-5.6533203125,0.2929113051470589
27541,kan,12,-1.8520606358846028,-1.56059726079305,0.29146337509155273
10241, pregnancy,12,-2.815699259440104,-2.526463826497396,0.28923543294270804
4831, steps,14,-4.349068777901786,-4.059988839285714,0.2890799386160712
7025, broadcast,20,-3.661861950159073,-3.3781594812870024,0.2837024688720704
2892, Mon,17,-5.1229025896857765,-4.840322606703815,0.28257998298196174
41741, Templar,11,-0.6006358753551136,-0.31858964399857953,0.2820462313565341
6110, defensive,10,-4.759476661682129,-4.485007095336914,0.274469566345215
20906, Required,11,-1.5526993057944558,-1.278740947896784,0.27395835789767187
7405, legs,10,-2.847564697265625,-2.57508544921875,0.2724792480468752
9859, drew,12,-3.9695027669270835,-3.699951171875,0.2695515950520835
4335,aked,11,-0.969953016801314,-0.7013467333533547,0.2686062834479592
2501,alt,12,-1.423180917898814,-1.1546227931976318,0.2685581247011821
13373, toy,15,-4.578058973948161,-4.312969462076823,0.2650895118713379
5586, sitting,11,-4.596546519886363,-4.332563920454546,0.26398259943181746
3526,board,18,-1.485163688659668,-1.2218299574322171,0.26333373122745085
7411, involving,16,-4.356292724609375,-4.093658447265625,0.26263427734375
5212, partner,18,-2.7981439563963146,-2.535660319858127,0.2624836365381875
25794, Ecuador,16,-2.0868682861328125,-1.8256759643554688,0.26119232177734375
7684, bunch,11,-3.348721590909091,-3.0886896306818183,0.2600319602272725
7808, hide,10,-4.636181640625,-4.3793701171875,0.25681152343749947
26463, Yi,10,-2.5645962715148927,-2.3091156005859377,0.255480670928955
246,�,161,-4.11059398236482,-3.8563480762221056,0.2542459061427147
23309, possessions,11,-2.2841685901988638,-2.029996004971591,0.25417258522727293
4141, French,55,-4.030021320689809,-3.7763663205233486,0.2536550001664599
14248, Kan,10,-4.3880716323852536,-4.135040283203125,0.25303134918212855
6155, walking,12,-5.203409830729167,-4.951497395833333,0.2519124348958339
4960, Japanese,361,-3.2093387984172788,-2.9575503235708642,0.25178847484641453
7797, possession,11,-4.484308416193182,-4.2341086647727275,0.25019975142045414
2229,ming,10,-1.117691659927368,-0.867888581752777,0.24980307817459102
1650, sit,14,-5.672642299107143,-5.423270089285714,0.24937220982142883
15984, Rachel,11,-2.6696111505681817,-2.421164772727273,0.24844637784090873
30070, cartoons,38,-3.009449136884589,-2.761440314744648,0.24800882213994102
16251, cartoon,42,-3.302039997918265,-3.055053608758109,0.24698638916015625
6738,from,10,-4.30947265625,-4.0640625,0.2454101562499993
6536, category,11,-3.631258877840909,-3.386380282315341,0.24487859552556834
6801, transition,10,-5.65849609375,-5.41591796875,0.24257812500000053
11034, animation,121,-3.207435418751614,-2.965881158497708,0.24155426025390625
11133, CBS,10,-4.094189453125,-3.853173828125,0.24101562499999973
8624, console,17,-3.3908978630514706,-3.1509076286764706,0.239990234375
1633, air,64,-3.2060399502515793,-2.9673077762126923,0.23873217403888702
43152, denim,10,-4.5306640625,-4.29287109375,0.23779296875
4601, wish,11,-5.309925426136363,-5.072265625,0.2376598011363633
6085, Israeli,16,-3.12701416015625,-2.889373779296875,0.237640380859375
247,�,2540,-1.5819366485584438,-1.3444253507561572,0.23751129780228664
10997, comedy,15,-3.430472819010417,-3.1933878580729167,0.2370849609375001
14257, debug,10,-4.5326171875,-4.2958984375,0.23671874999999964
27812, Anime,29,-2.8068710154500502,-2.5702859779884077,0.2365850374616425
6575, Ron,16,-4.7550506591796875,-4.5185546875,0.2364959716796875
1007, trans,16,-4.409675598144531,-4.173709869384766,0.23596572875976562
40627, Makoto,10,-8.3546875,-8.121484375,0.23320312500000107
21574, Milan,11,-1.6555397727272727,-1.4241665926846592,0.23137318004261354
6670, targets,11,-4.09430555863814,-3.864220705899325,0.2300848527388144
44129, Kodi,18,-1.9433390299479167,-1.71441650390625,0.22892252604166674
4065, crime,34,-2.3495881697710823,-2.124708624447093,0.22487954532398913
15875, Movie,12,-1.7735774517059326,-1.549593210220337,0.2239842414855957
3860, quarter,18,-2.650842030843099,-2.4282018873426647,0.22264014350043437
3147,chan,17,-1.075167038861443,-0.853020611931296,0.22214642693014697
4283, stock,11,-4.8727805397727275,-4.651078657670454,0.22170188210227337
2497, saw,42,-3.7192615327380953,-3.4996192568824407,0.21964227585565466
562,ass,17,-1.7222302591099459,-1.5037464674781351,0.21848379163181075
8976, rival,11,-5.4831321022727275,-5.266612659801137,0.21651944247159083
18530, aired,17,-2.169730915742762,-1.9544552073759192,0.21527570836684284
4724, guess,18,-3.1163847711351185,-2.9023257427745395,0.214059028360579
4439, produce,31,-4.234981413810484,-4.020964591733871,0.214016822076613
5637, remaining,21,-5.7160528273809526,-5.503487723214286,0.21256510416666696
5982, entered,17,-6.333898207720588,-6.126436121323529,0.20746208639705888
4048, female,27,-4.4056431805645975,-4.200829117386429,0.2048140631781683
5597, prepared,14,-5.583147321428571,-5.38037109375,0.20277622767857117
1133,ute,10,-1.2345279693603515,-1.0317570328712464,0.20277093648910505
4232, whatever,17,-5.209056181066177,-5.007123161764706,0.201933019301471
7014, crash,12,-2.96612548828125,-2.7650146484375,0.20111083984375
1509, sw,11,-6.819424715909091,-6.619540127840909,0.19988458806818166
958,air,22,-0.7489796335046942,-0.5504459684545343,0.1985336650501599
6439, unknown,11,-2.490425803444602,-2.292075417258523,0.19835038618607914
3272, cross,22,-5.347755247896368,-5.15006452256983,0.19769072532653809
14063, Yam,23,-3.2291421475617783,-3.0328661047894023,0.19627604277237598
22200,uchi,27,-0.7862482689045094,-0.5903092137089482,0.1959390551955612
5675, Grand,13,-3.8451573298527646,-3.649232130784255,0.19592519906850958
49848, Fancy,16,-3.1903457641601562,-2.996074676513672,0.19427108764648438
4197, fit,16,-2.8544540405273438,-2.6606903076171875,0.19376373291015625
9840, Bureau,13,-2.5356865662794847,-2.342061262864333,0.1936253034151516
12293,powered,10,-1.2745861053466796,-1.0814205169677735,0.19316558837890607
9022, Which,11,-5.848721590909091,-5.655894886363637,0.19282670454545414
28618,に,11,-3.0971235795454546,-2.904385653409091,0.19273792613636376
5928, domestic,24,-5.494194030761719,-5.3025868733723955,0.1916071573893232
3791,New,19,-5.284297742341694,-5.09398048802426,0.19031725431743407
120,�,11,-1.791821609843861,-1.6018265810879795,0.1899950287558816
9181, cited,10,-4.8099609375,-4.6212890625,0.18867187499999982
17604, publishers,16,-2.650054931640625,-2.46160888671875,0.188446044921875
