token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
13129, newsletter,11,-3.1442641128193247,-2.58349778435447,0.5607663284648545
3666,My,34,-4.917864343699287,-4.396153961910921,0.5217103817883659
1526, Mar,16,-6.29301156103611,-5.774534225463867,0.5184773355722427
29262, murderer,15,-4.282649739583333,-3.768204752604167,0.5144449869791665
19050, massacre,10,-3.771484375,-3.281005859375,0.490478515625
8381, controversial,10,-6.2552734375,-5.765234375,0.4900390624999993
716, am,80,-2.4935757756233214,-2.0056748032569884,0.487900972366333
943, Ar,12,-5.588237126668294,-5.116081237792969,0.4721558888753252
1173,ric,12,-2.2046632766723633,-1.7724322279294331,0.43223104874293017
3825, Sun,16,-3.8214263916015625,-3.407743453979492,0.4136829376220703
2314, cannot,31,-4.315004410282258,-3.9311050907258065,0.3838993195564515
570,ign,11,-2.1423183354464443,-1.7609590508721091,0.3813592845743352
6151, loved,13,-3.5765240009014425,-3.1999476506159854,0.3765763502854571
9961, horror,17,-4.2316750919117645,-3.8655503216911766,0.36612477022058787
8361, aggressive,12,-4.698555628458659,-4.342738389968872,0.3558172384897871
6049, severe,10,-4.479364013671875,-4.123587036132813,0.3557769775390618
10241, pregnancy,13,-3.3803570087139425,-3.025897686298077,0.3544593224158654
7025, broadcast,13,-4.897348257211538,-4.543832632211538,0.353515625
11801, Unit,11,-2.035239479758523,-1.6883822354403408,0.3468572443181821
8545, Coast,11,-1.012283520265059,-0.6682752695950595,0.3440082506699996
29685, staffer,11,-1.5021480213512073,-1.1620996648615056,0.34004835648970166
4656, die,12,-2.0152511596679688,-1.6786142985026042,0.3366368611653645
17709, killings,41,-3.521150914634146,-3.1894888528963414,0.33166206173780477
9577, quote,11,-3.5825639204545454,-3.252219460227273,0.3303444602272725
4152, college,19,-3.9768433821828744,-3.649853455392938,0.32698992678993655
707,aw,24,-1.9241455992062886,-1.5981333802143733,0.32601221899191524
15364, advocacy,10,-4.7833740234375,-4.46201171875,0.3213623046874998
1633, air,51,-3.0100334391874424,-2.7004700268016144,0.30956341238582796
6782, privacy,12,-4.253959655761719,-3.9467025995254517,0.3072570562362671
2113, Har,16,-3.7008666172623634,-3.402707464993,0.2981591522693634
7773, carefully,10,-7.584375,-7.287109375,0.29726562499999964
9845, knife,10,-1.89512939453125,-1.59925537109375,0.2958740234374999
7846, ticket,10,-3.06746826171875,-2.77159423828125,0.2958740234374999
16510, imprisonment,12,-1.6939592758814495,-1.3984684546788533,0.2954908212025962
8659, suffer,10,-4.22919921875,-3.93779296875,0.29140624999999964
3465, note,19,-2.8579944811369242,-2.5714175575657894,0.28657692357113485
3739, income,16,-3.641179084777832,-3.356257438659668,0.28492164611816406
5923, AR,11,-5.744074041193182,-5.464488636363637,0.27958540482954497
5155, Life,10,-4.131209778785705,-3.854451560974121,0.2767582178115844
3067, travel,16,-4.765658378601074,-4.489956855773926,0.27570152282714844
12352, engagement,10,-5.49437255859375,-5.220849609375,0.27352294921875053
6131, bag,10,-3.339918088912964,-3.066913032531738,0.27300505638122585
11917, courage,15,-3.896354166666667,-3.6244303385416665,0.27192382812500027
8198, scores,13,-5.521672175480769,-5.250638521634615,0.2710336538461542
365,ke,11,-2.0204098983244463,-1.751801924272017,0.2686079740524292
29723, tresp,10,-4.92366943359375,-4.65810546875,0.26556396484375
3377, spent,27,-4.015082465277778,-3.7508002387152777,0.2642822265625
23309, possessions,12,-2.839263916015625,-2.5759480794270835,0.2633158365885415
9699, Six,11,-6.102583451704546,-5.8408203125,0.26176313920454586
9301, banned,12,-4.49871826171875,-4.237396240234375,0.261322021484375
24270, unarmed,12,-3.6522013346354165,-3.3917032877604165,0.260498046875
3484, costs,26,-2.5459054800180287,-2.2854989858774037,0.260406494140625
7437,American,13,-1.0124205075777495,-0.7550726670485276,0.2573478405292219
126,�,12,-4.164571126302083,-3.9086507161458335,0.25592041015624956
34599, Rubin,12,-5.805322527885437,-5.551425496737163,0.25389703114827444
5270, generation,18,-2.443632337782118,-2.1901830037434897,0.2534493340386281
7645,trans,11,-2.8223447691310537,-2.570192337036133,0.2521524320949209
4652, league,10,-3.191156005859375,-2.9391326904296875,0.2520233154296876
7346, surrounding,16,-4.778594970703125,-4.52777099609375,0.250823974609375
18721, demonstrations,11,-4.5573508522727275,-4.309392755681818,0.24795809659090917
3470, hundred,13,-2.4371255727914662,-2.1906034029447117,0.24652216984675457
7197,lee,10,-1.938728153705597,-1.6926684141159059,0.24605973958969107
7539, stretch,10,-6.840234375,-6.6001953125,0.2400390624999993
4859, stick,12,-6.070638020833333,-5.830607096354167,0.24003092447916607
7224, sees,18,-4.595052083333333,-4.362569173177083,0.23248291015625
8744, electricity,12,-3.6720174153645835,-3.4414469401041665,0.23057047526041696
6832, buildings,12,-3.690169334411621,-3.459917147954305,0.23025218645731593
5141, kid,15,-4.036088053385416,-3.8073527018229165,0.2287353515624999
4710, notes,18,-4.571723090277778,-4.343370225694445,0.22835286458333304
13923, witnessed,18,-4.998426649305555,-4.770290798611111,0.22813585069444464
8074, Hom,16,-4.344095706939697,-4.1164870262146,0.22760868072509766
10140, Massachusetts,22,-4.897638494318182,-4.670809659090909,0.22682883522727249
9768, 1992,14,-3.544745309012277,-3.3191092354910716,0.2256360735212053
9256, Hospital,15,-1.2929829915364583,-1.0676534016927084,0.22532958984374996
2493, port,10,-5.128070735931397,-4.907190608978271,0.22088012695312553
7270, liberal,14,-6.210379464285714,-5.989815848214286,0.22056361607142883
3298, global,34,-4.516332794638241,-4.297399184283088,0.2189336103551529
40,I,340,-2.5479489592944873,-2.3293110468808345,0.21863791241365282
7756, tournament,10,-2.14124755859375,-1.92379150390625,0.21745605468749973
6481, increasingly,12,-5.826171875,-5.608805338541667,0.21736653645833304
13030, advised,10,-5.37958984375,-5.1630859375,0.21650390624999982
8428, Reuters,12,-3.9420572916666665,-3.72607421875,0.21598307291666652
11119, legally,11,-6.0832741477272725,-5.871981534090909,0.2112926136363633
8491,Are,10,-5.40703125,-5.19638671875,0.21064453124999982
5136, Institute,28,-1.9148853846958704,-1.7045061928885323,0.2103791918073381
6770, definition,13,-3.9347393329326925,-3.724384014423077,0.21035531850961542
16849, Lebanon,13,-1.7443636747506948,-1.5354012709397535,0.20896240381094122
11637, borders,10,-1.9595947265625,-1.75076904296875,0.2088256835937501
10218, innocent,11,-4.968883167613637,-4.760209517045454,0.20867365056818254
42582, nonviolent,25,-3.621767578125,-3.413291015625,0.20847656250000002
4747, 33,12,-5.677571614583333,-5.47265625,0.20491536458333304
6926, Women,14,-3.247979538781302,-3.0438320636749268,0.20414747510637543
6105, properly,15,-5.128161112467448,-4.924944051106771,0.20321706136067696
12309, peaceful,14,-2.724888392857143,-2.522739955357143,0.2021484375
499,ap,11,-1.629137559370561,-1.432398709383878,0.19673884998668312
28,=,16,-1.6627831682562828,-1.466565378010273,0.19621779024600983
11734, violations,11,-3.416318026455966,-3.220542214133523,0.1957758123224429
7685, normally,13,-8.061298076923077,-7.867487980769231,0.1938100961538458
5300, feels,15,-4.723828125,-4.530078125,0.19374999999999964
3958, ban,34,-2.364502289715935,-2.170813476338106,0.19368881337782895
35083, manslaughter,12,-1.5735280116399128,-1.3801918427149455,0.1933361689249673
6486, lie,10,-4.363525390625,-4.171484375,0.19204101562499964
1494, kill,45,-1.9914364284939237,-1.79971923828125,0.19171719021267375
5760,PD,15,-0.697304121653239,-0.506741714477539,0.19056240717569994
5396, Association,14,-1.9040098871503557,-1.7138169152396066,0.19019297191074913
10710, Sweden,11,-3.321921608664773,-3.1341441761363638,0.18777743252840917
4180, resist,10,-5.6744140625,-5.4884765625,0.18593750000000053
1723,aring,11,-0.9857685565948486,-0.7998538884249601,0.18591466816988855
2652, stay,41,-3.639345983179604,-3.4546570196384336,0.18468896354117037
5070, Government,17,-2.1448315452126896,-1.9608329885146196,0.18399855669806997
5153, funds,15,-3.2624755859375,-3.079451497395833,0.18302408854166696
5094, Public,13,-2.474852818709153,-2.2921917255108175,0.18266109319833568
8735, 1995,14,-3.9525320870535716,-3.7710048130580356,0.18152727399553603
3621, nice,12,-4.738037109375,-4.557779947916667,0.18025716145833304
3478, ten,20,-6.969091796875,-6.7890625,0.18002929687500036
4201, seconds,10,-1.4061330676078796,-1.2264359593391418,0.17969710826873775
2930, Ser,12,-2.7694029808044434,-2.590087115764618,0.17931586503982544
2910, blood,51,-3.5285013423246494,-3.3494877441256654,0.179013598198984
4047, highly,28,-6.36865234375,-6.190080915178571,0.17857142857142883
5776, Games,10,-1.8078231811523438,-1.6294563293457032,0.17836685180664058
