token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
8415, signing,14,-3.741641334124974,-3.2443821345056807,0.4972591996192932
242,�,18,-5.2923776441150245,-4.878424333201514,0.4139533109135103
10241, pregnancy,17,-2.4470537971047794,-2.1326581169577206,0.3143956801470589
6937, constant,10,-5.70325927734375,-5.42869873046875,0.27456054687499964
10530, musical,10,-5.242227935791016,-4.973472595214844,0.26875534057617223
7319, thousand,10,-3.876524257659912,-3.607840347290039,0.26868391036987305
12652, Robinson,10,-2.5043399810791014,-2.236760139465332,0.26757984161376935
73,j,29,-2.5062348472660987,-2.255028646567772,0.25120620069832666
3666,My,27,-4.814453125,-4.581090856481482,0.23336226851851816
5003, cash,26,-3.5580655611478367,-3.3283421443058896,0.22972341684194708
6853, lawyer,10,-4.57646484375,-4.347265625,0.22919921874999982
19584, parked,10,-3.094732666015625,-2.8678558349609373,0.2268768310546876
716, am,79,-2.8315877793710444,-2.604725511768196,0.22686226760284844
3483,BI,10,-4.152115249633789,-3.9364962577819824,0.215618991851807
12346, Pick,10,-4.993259286880493,-4.7806929588317875,0.21256632804870534
12253, revolutionary,10,-6.81689453125,-6.61181640625,0.205078125
6050, suit,10,-2.0392333984375,-1.8390625,0.20017089843750013
17558, Bright,11,-2.0626081986860796,-1.8667879971590908,0.19582020152698876
23547, Abdul,15,-2.478982925415039,-2.299505615234375,0.17947731018066415
4654, join,15,-4.629541015625,-4.451871744791666,0.1776692708333334
620,ach,14,-3.1643748623984203,-2.98740782056536,0.17696704183306045
8179, busy,10,-4.1525146484375,-3.9855712890625,0.16694335937500027
7263, aside,10,-2.288218688964844,-2.1233152389526366,0.1649034500122073
1312, i,12,-5.471523056427638,-5.306810528039932,0.16471252838770578
55,X,16,-2.047143764793873,-1.883148767054081,0.16399499773979187
3026, civil,28,-5.132917131696429,-4.9698486328125,0.16306849888392883
8383, worker,21,-3.3181835356212797,-3.155247279575893,0.16293625604538686
875, dec,11,-8.323208895596592,-8.162200927734375,0.16100796786221672
8868, reducing,10,-5.013427734375,-4.855810546875,0.15761718749999964
7846, ticket,15,-3.5972859700520834,-3.4401570638020833,0.1571289062500001
18753, Greens,18,-2.0830968221028647,-1.9272435506184895,0.15585327148437522
27357, overdose,10,-3.1308868408203123,-2.9754287719726564,0.1554580688476559
15811, investor,10,-3.1812713623046873,-3.02623291015625,0.15503845214843714
3987,Don,16,-4.218329638242722,-4.064187407493591,0.15414223074913025
14720, hungry,13,-3.388080303485577,-3.2380605844350963,0.15001971905048084
56,Y,20,-3.649130082130432,-3.499593532085419,0.14953655004501343
7748, permanent,20,-3.9172393798828127,-3.7677276611328123,0.14951171875000036
13784, donation,10,-2.6330811977386475,-2.483665418624878,0.14941577911376935
4315, crowd,23,-2.4486081911169966,-2.2994618623153023,0.14914632880169432
18277, Herald,12,-1.1441651980082195,-0.9975331624348959,0.1466320355733236
8111, Royal,14,-6.828508649553571,-6.683558872767857,0.1449497767857144
3013, sn,11,-5.897592631253329,-5.753548535433683,0.1440440958196465
786,ise,17,-0.7311118560678819,-0.5886010983411003,0.14251075772678157
5386, audience,12,-3.695734659830729,-3.5534159342447915,0.1423187255859375
8087, lawsuit,12,-2.7538350423177085,-2.61395263671875,0.13988240559895848
6537, realize,15,-3.2732421875,-3.133919270833333,0.13932291666666696
15984, Rachel,10,-2.631298828125,-2.49296875,0.13833007812499964
18066, fundraising,12,-5.334309895833333,-5.19970703125,0.13460286458333304
1898, Euro,12,-4.530265808105469,-4.396203358968099,0.1340624491373701
9323, establishment,10,-3.9645263671875,-3.8313720703125,0.13315429687500036
6041, lots,17,-5.300106272977941,-5.167092715992647,0.13301355698529438
4283, stock,15,-5.189615885416667,-5.056868489583334,0.1327473958333334
5524, Human,16,-4.242298699915409,-4.109741255640984,0.1325574442744255
7176, hopes,17,-5.114171645220588,-4.982881433823529,0.13129021139705888
14745, 1981,10,-4.80107421875,-4.67080078125,0.13027343750000053
8688, worldwide,16,-5.2198486328125,-5.09228515625,0.1275634765625
7463, falling,29,-4.339212877997037,-4.211861182903421,0.12735169509361555
2366, foot,11,-4.064098011363637,-3.937411221590909,0.12668678977272751
13662, hosting,10,-3.88037109375,-3.75634765625,0.1240234375
3734, fine,18,-4.238435533311632,-4.117042541503906,0.12139299180772589
9983, Staff,10,-3.1779072761535643,-3.0581902503967284,0.11971702575683585
1650, sit,12,-5.0416259765625,-4.922688802083333,0.11893717447916696
21887, elites,10,-4.03192138671875,-3.9138427734375,0.11807861328124991
5096, insurance,61,-2.413303250172099,-2.2953060963114753,0.1179971538606237
9588, salary,16,-2.9449005126953125,-2.8272743225097656,0.11762619018554688
241,�,13,-1.404985868013822,-1.2896540715144231,0.11533179649939895
488,ich,23,-0.7274581090263699,-0.6122778654098511,0.1151802436165188
9,*,16,-2.6301549077033997,-2.515220522880554,0.11493438482284546
8781, lets,10,-5.000390625,-4.8859375,0.11445312499999982
5078, switch,11,-5.509876598011363,-5.3955466530539775,0.1143299449573858
14257, debug,10,-4.5326171875,-4.418359375,0.1142578125
8850, ordinary,14,-4.814871651785714,-4.700892857142857,0.11397879464285765
5894, dry,10,-4.2859375,-4.17236328125,0.11357421875000018
13312, developments,12,-5.090250651041667,-4.977132161458333,0.11311848958333393
24649, memoir,10,-1.9151611328125,-1.802178955078125,0.11298217773437491
763, co,37,-5.982177734375,-5.869246199324325,0.11293153505067544
22195, Senators,20,-1.723138427734375,-1.61038818359375,0.11275024414062518
15007, Finance,10,-3.71165771484375,-3.599853515625,0.11180419921875018
1665, Te,10,-3.6007442474365234,-3.4893772125244142,0.1113670349121092
5863, famous,11,-4.5149147727272725,-4.404430042613637,0.1104847301136358
12042, earnings,11,-3.8628373579545454,-3.7532848011363638,0.10955255681818166
7634, strongly,11,-6.995028409090909,-6.885653409090909,0.109375
4152, college,39,-3.4814296624599357,-3.3726290189302883,0.10880064352964736
4708, professional,20,-5.6453125,-5.5365234375,0.10878906250000053
