token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
25953, Wolves,10,-3.09501953125,-2.68472900390625,0.41029052734375027
6050, suit,10,-3.20498046875,-2.80830078125,0.39667968750000027
8296, recording,11,-4.973987926136363,-4.614790482954546,0.35919744318181746
8959, IM,10,-5.3560546875,-4.99794921875,0.3581054687500007
7374, winter,86,-3.830881872842478,-3.540584830350654,0.2902970424918241
19819, stimulus,10,-4.0201171875,-3.75,0.27011718750000036
34796, bowls,16,-3.8354034423828125,-3.5962905883789062,0.23911285400390625
8568, exclusive,16,-4.372028827667236,-4.135378837585449,0.2366499900817871
10241, pregnancy,12,-2.815699259440104,-2.5955403645833335,0.22015889485677054
8783, champion,26,-2.4233609713040867,-2.20968510554387,0.2136758657602167
18899, Birmingham,16,-3.9235992431640625,-3.7159881591796875,0.207611083984375
5369, identity,16,-1.9729466438293457,-1.7703514099121094,0.20259523391723633
44919, Sta,19,-3.6393561112253288,-3.442845394736842,0.19651071648848673
18073, sponsors,11,-5.981489701704546,-5.786909623579546,0.194580078125
14359, venue,15,-3.07816645304362,-2.8846876780192057,0.19347877502441424
4141, French,39,-3.876782539563301,-3.6833558693910255,0.19342667017227555
8829, Radio,11,-2.9003462357954546,-2.7144026322798296,0.185943603515625
44129, Kodi,18,-1.9433390299479167,-1.7579616970486112,0.18537733289930558
32646, Athletics,11,-2.815920743075284,-2.6317873868075283,0.18413335626775584
4488, signed,45,-4.115383905834622,-3.9316145817438763,0.18376932409074564
8909, Santa,11,-4.5680930397727275,-4.38671875,0.18137428977272751
521,ind,15,-1.5851288239161174,-1.4068159421284994,0.17831288178761806
5586, sitting,15,-4.660709635416667,-4.48271484375,0.17799479166666643
6977, fashion,12,-5.216214497884114,-5.0398305257161455,0.17638397216796875
8603, equally,13,-6.391977163461538,-6.2157451923076925,0.1762319711538458
251,�,1296,-2.5410936226447425,-2.3671988965368564,0.17389472610788603
6283, strange,11,-5.1657492897727275,-4.994584517045454,0.17116477272727337
14604, commentary,11,-5.2029196999289775,-5.033391779119318,0.16952792080965917
1898, Euro,12,-4.530265808105469,-4.362007776896159,0.1682580312093096
9980,News,13,-3.3510085619412937,-3.1844383753263035,0.16657018661499023
