token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
10171, stake,15,-4.687715148925781,-4.307000223795573,0.3807149251302082
22614,Bitcoin,13,-3.358623798076923,-2.989558293269231,0.36906550480769207
7078, pitch,15,-4.608317057291667,-4.286246744791667,0.3220703125000002
1188, val,16,-4.658125936985016,-4.349380910396576,0.30874502658843994
4935, Project,11,-4.20332839272239,-3.9239163832231,0.27941200949928957
7014, crash,16,-2.8493099212646484,-2.5789260864257812,0.2703838348388672
49292, Polk,11,-2.4006192575801504,-2.1303812482140283,0.2702380093661221
45030, Pricing,13,-2.6885446401742787,-2.4296358548677883,0.2589087853064904
19168, proposition,15,-3.853995768229167,-3.59755859375,0.2564371744791667
10413, partnership,10,-4.853926324844361,-4.597874450683594,0.25605187416076713
33517, Pitch,10,-2.5216796875,-2.268994140625,0.252685546875
8661, mainstream,19,-4.83112937525699,-4.578471535130551,0.25265784012643877
29115, valuation,35,-3.629148646763393,-3.3864013671875,0.2427472795758927
20670,Obviously,10,-7.7125,-7.471484375,0.24101562500000018
10551, NSA,21,-3.8181326729910716,-3.5811244419642856,0.23700823102678603
527,ber,11,-1.26327336918224,-1.0298819541931152,0.23339141498912475
7989, principle,10,-5.36806640625,-5.1529296875,0.2151367187499993
4315, crowd,22,-2.7219901951876553,-2.511019641702825,0.21097055348483007
1124,akes,11,-1.8134970448233865,-1.6025395393371582,0.21095750548622827
26706, VC,16,-3.795013427734375,-3.5921478271484375,0.2028656005859375
1526, Mar,14,-6.839268275669643,-6.638837541852679,0.2004307338169644
12508, deadline,11,-2.6395076404918325,-2.439089688387784,0.20041795210404834
10278, Indiana,11,-5.0398171164772725,-4.844637784090909,0.1951793323863633
4022, Tor,10,-3.881787109375,-3.687841796875,0.1939453124999999
386, pro,31,-5.8929714079826105,-5.7014037101499495,0.19156769783266103
12051, justify,13,-5.562049278846154,-5.377103365384615,0.1849459134615392
14429, makers,11,-1.4516324129971592,-1.2696644176136365,0.1819679953835227
5537, Prime,22,-3.088686856356534,-2.909536188299006,0.17915066805752833
48552, postage,10,-4.868359375,-4.69267578125,0.17568359374999964
8111, Royal,15,-4.926790364583334,-4.755240885416667,0.17154947916666696
1451, cap,25,-4.896396484375,-4.725205078125,0.17119140625000018
8976, rival,17,-5.376220703125,-5.205236098345588,0.17098460477941213
5733,ano,17,-0.45913009082569795,-0.290004898520077,0.16912519230562095
9181, cited,16,-4.412454694509506,-4.243411600589752,0.16904309391975403
5219,state,10,-1.2207996368408203,-1.0522018432617188,0.16859779357910143
27512, Wheeler,11,-4.358306288719177,-4.1900516748428345,0.16825461387634277
8781, lets,12,-5.121256510416667,-4.953776041666667,0.16748046875
8683, premium,23,-3.3277408765709917,-3.160852183466372,0.16688869310461962
2560, parent,13,-3.6677574744591346,-3.501239483173077,0.1665179912860575
8151,™,10,-2.1116897583007814,-1.9452720642089845,0.16641769409179696
3785, figure,32,-4.478992462158203,-4.313333511352539,0.16565895080566406
4724, guess,10,-2.244966220855713,-2.080266797542572,0.16469942331314114
10159, stability,16,-3.48654842376709,-3.3220643997192383,0.16448402404785156
7797, possession,12,-3.26678466796875,-3.1037801106770835,0.16300455729166652
463,ud,14,-2.0271288752555847,-1.8647502831050329,0.16237859215055184
2113, Har,11,-3.141107028180903,-2.97995341907848,0.16115360910242282
8312, Greek,12,-3.50750732421875,-3.3483072916666665,0.15920003255208348
6994, prime,13,-4.99598136314979,-4.837313138521635,0.15866822462815477
3122, PM,17,-3.1047212586683384,-2.9481324237935684,0.15658883487476993
3730, guys,19,-4.854851973684211,-4.698550575657895,0.15630139802631593
7884, Family,12,-4.9306284586588545,-4.77468999226888,0.15593846638997455
12989, trillion,17,-1.7770969166475183,-1.6217913908116959,0.15530552583582247
9377, rational,10,-5.51767578125,-5.3634765625,0.15419921875000053
5364, committed,13,-3.276630108173077,-3.1224459134615383,0.15418419471153877
8670, Op,10,-4.702272891998291,-4.548181247711182,0.1540916442871092
5559, alternative,23,-4.937392918959908,-4.783914856288744,0.15347806267116404
6088, plenty,10,-4.206298828125,-4.053955078125,0.15234375
5450,https,11,-3.0555974786931817,-2.9046075994318183,0.1509898792613633
14780, Swiss,29,-1.884289971713362,-1.7339856377963363,0.1503043339170258
17560, valued,16,-3.9026412963867188,-3.7524337768554688,0.15020751953125
2347, mass,30,-4.703156363964081,-4.554702516396841,0.14845384756724034
1898, Euro,17,-4.1627358829273895,-4.015975503360524,0.1467603795668655
6891, coffee,15,-2.85166015625,-2.7052571614583334,0.14640299479166652
10497, promises,11,-6.384588068181818,-6.238370028409091,0.14621803977272751
10241, pregnancy,12,-2.815699259440104,-2.6697896321614585,0.14590962727864554
9706, execution,11,-5.793634588068182,-5.64794921875,0.14568536931818166
9194, producing,12,-6.493326822916667,-6.347981770833333,0.14534505208333393
648,ang,14,-1.863330330167498,-1.720259700502668,0.14307062966482986
9730, offices,11,-1.3496607000177556,-1.2069376165216619,0.14272308349609375
9014, replacement,11,-5.207208806818182,-5.0646750710227275,0.14253373579545414
4049, error,11,-4.000575824217363,-3.8581174937161533,0.14245833050120993
10392, packages,16,-3.8424072265625,-3.7001953125,0.1422119140625
7719, promote,15,-3.9527994791666665,-3.812125651041667,0.14067382812499973
8744, electricity,15,-3.549755859375,-3.410009765625,0.1397460937499999
11271, Nik,10,-3.556191253662109,-3.4172019958496094,0.13898925781249982
5860, returns,23,-3.383314785750016,-3.245704070381496,0.13761071536852
