token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
251,�,1084,-3.116782601139202,-2.403680721662141,0.7131018794770609
250,�,1155,-3.8086836579558137,-3.221077280746394,0.5876063772094198
3497, Get,13,-5.6452621313241815,-5.15966195326585,0.48560017805833144
3158, Feb,10,-5.1327880859375,-4.6998046875,0.4329833984375
9019,ui,11,-1.8068619966506958,-1.4768604256890037,0.33000157096169214
7061,'',10,-3.88919677734375,-3.571722412109375,0.317474365234375
5734, specifically,10,-6.55517578125,-6.2484375,0.30673828125000036
6329,---,10,-5.274102783203125,-4.968646240234375,0.30545654296874947
15429, dietary,26,-5.154897836538462,-4.866680438701923,0.2882173978365383
3439, 35,15,-4.128586673736573,-3.8414342562357584,0.2871524175008142
7494, veget,15,-5.20302734375,-4.91640625,0.28662109375
21247, poem,10,-2.868876647949219,-2.59677734375,0.272099304199219
4863,From,12,-5.985677083333333,-5.71533203125,0.27034505208333304
865, br,11,-6.613536487926137,-6.359197443181818,0.25433904474431834
10432, €,14,-3.821831839425223,-3.571720668247768,0.2501111711774553
14698,Having,10,-7.318359375,-7.06953125,0.24882812500000018
837," ,",53,-3.378817877679501,-3.1300791974337594,0.24873868024574142
1610, Fl,10,-6.937861633300781,-6.695497131347656,0.24236450195312553
13362, Independent,11,-3.5095034512606533,-3.2692120291969995,0.24029142206365384
1879, Car,16,-6.377532958984375,-6.143768310546875,0.2337646484375
9403, seed,15,-4.669706217447916,-4.438041178385417,0.23166503906249947
5096, insurance,13,-3.339482234074519,-3.1116567758413463,0.2278254582331729
7770, blind,10,-3.916796875,-3.68983154296875,0.22696533203125036
19495, neighbourhood,13,-5.171198918269231,-4.945650540865385,0.2255483774038458
246,�,119,-4.419211174259667,-4.195357622218733,0.22385355204093393
13505, WW,11,-4.617365056818182,-4.394131747159091,0.22323330965909083
3454, Sl,11,-4.910600142045454,-4.691051136363637,0.21954900568181746
4245, burn,15,-3.7739840507507325,-3.5572278022766115,0.216756248474121
11721, cheaper,12,-4.704752604166667,-4.48828125,0.21647135416666696
3706, named,23,-4.218850840692935,-4.006018597146739,0.21283224354619534
7176, hopes,11,-6.159978693181818,-5.9479758522727275,0.21200284090909083
10014, recall,20,-3.1657676696777344,-2.9564353942871096,0.20933227539062482
1569, ve,50,-3.8727587890625,-3.66904052734375,0.20371826171875007
2264, Qu,20,-4.9606201171875,-4.75955810546875,0.20106201171874982
14115, McDonald,12,-3.31490421295166,-3.118152618408203,0.19675159454345703
1015,ave,11,-1.850815404545177,-1.6553852341391824,0.19543017040599464
4007, purpose,14,-4.455281938825335,-4.2599334716796875,0.19534846714564758
31702, Protein,12,-1.4803245862325032,-1.2859944105148315,0.19433017571767164
5339, capacity,15,-4.573533837000529,-4.381402492523193,0.19213134447733538
21245, strains,11,-3.4596002752130683,-3.2699030095880683,0.189697265625
294, th,14,-6.016322749001639,-5.8286041532244,0.18771859577723937
564, �,931,-5.818111628646113,-5.6311325253528635,0.18697910329324952
1086, Bl,22,-2.7510209517045454,-2.564634843306108,0.1863861083984375
6332, sport,12,-4.528910319010417,-4.345703125,0.18320719401041696
14005, pale,18,-3.058437771267361,-2.8752305772569446,0.18320719401041652
41478, hamb,15,-4.12587890625,-3.944694010416667,0.18118489583333286
3248, Bo,15,-4.290275065104167,-4.109688568115234,0.1805864969889326
2866, speed,10,-5.175054931640625,-4.999945068359375,0.17510986328125
5230, internet,12,-4.160979747772217,-3.9879802068074546,0.17299954096476222
58,[,21,-4.5768926711309526,-4.405087425595238,0.1718052455357144
6705, Best,19,-5.128045333059211,-4.956350226151316,0.1716951069078947
427, sh,26,-5.395028921274038,-5.224407489483173,0.17062143179086497
4727, explain,15,-4.447737630208334,-4.2822265625,0.16551106770833357
8434, inner,10,-4.905908203125,-4.741796875,0.1641113281249993
29240, tariffs,10,-3.082049560546875,-2.918145751953125,0.1639038085937501
7819, stuck,11,-5.819779829545454,-5.658380681818182,0.16139914772727249
10265,Both,10,-6.2677734375,-6.1064453125,0.16132812499999982
15346, nonprofit,10,-3.5280517578125,-3.366943359375,0.1611083984374999
15000, consume,21,-3.644775390625,-3.484135219029018,0.1606401715959822
2845, except,15,-5.35625,-5.1974609375,0.15878906250000036
11989, sons,11,-4.042347301136363,-3.883567116477273,0.15878018465909038
13897, destroying,11,-6.217329545454546,-6.058948863636363,0.15838068181818254
41919, carniv,14,-3.5124598911830356,-3.3547842843191966,0.15767560686383897
2984, mis,17,-5.723288143382353,-5.56640625,0.15688189338235325
6905, governments,12,-2.6581319173177085,-2.5015869140625,0.15654500325520848
6000, greatest,14,-4.813406808035714,-4.657575334821429,0.1558314732142856
10801, cooking,39,-3.9137244591346154,-3.758601262019231,0.15512319711538458
9457, breaks,10,-5.60882568359375,-5.45399169921875,0.15483398437500018
13769, besides,10,-8.208984375,-8.054296875,0.15468749999999964
18316, shelf,11,-2.5177653919566763,-2.3648015802556817,0.1529638117009946
26511, worsh,10,-3.184637451171875,-3.031787109375,0.15285034179687473
9072, Centre,16,-3.5475807189941406,-3.3963241577148438,0.15125656127929688
6445, Wal,11,-3.774880149147727,-3.6241011186079546,0.15077903053977249
7858, tur,18,-3.3596937391493054,-3.2091200086805554,0.15057373046875
7268, containing,10,-5.9755132555961605,-5.826309084892273,0.14920417070388758
3951, lines,10,-3.765728759765625,-3.617376708984375,0.1483520507812499
384, se,15,-6.06007817586263,-5.912798055013021,0.14728012084960884
7178, Win,10,-5.5251708984375,-5.37822265625,0.14694824218749947
3781, analysis,23,-3.0835916270380435,-2.936751655910326,0.1468399711277173
14672, FDA,13,-2.814550986656776,-2.6678612048809347,0.14668978177584124
5890, Director,13,-2.226801945612981,-2.0802811842698317,0.14652076134314918
6227, desire,10,-5.31484375,-5.168359375,0.146484375
16020, sectors,11,-2.14276123046875,-1.9968983043323865,0.14586292613636354
3819, Other,11,-7.4719460227272725,-7.327059659090909,0.1448863636363633
4332, Press,12,-1.4353691438833873,-1.2905716300010681,0.1447975138823192
11289, Award,10,-1.5210205078125,-1.37698974609375,0.14403076171875018
7897, Spanish,10,-5.022265625,-4.8783203125,0.14394531250000053
5848, soul,10,-5.357225036621093,-5.213897705078125,0.1433273315429684
26636, peanut,13,-3.1051307091346154,-2.9618389423076925,0.1432917668269229
4615, removed,17,-2.779562557444853,-2.6371226591222428,0.14243989832261006
48444, Bicycle,10,-3.2473052978515624,-3.10489501953125,0.1424102783203125
4556, unless,11,-5.777069091796875,-5.634748979048296,0.14232011274857914
5922, developing,25,-4.577067337036133,-4.436640930175781,0.14042640686035135
492,..,11,-7.219637784090909,-7.079545454545454,0.14009232954545503
8136, solutions,15,-4.245259602864583,-4.107918294270833,0.13734130859374982
