token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
246,�,79,-5.838510670239413,-5.2994434682628775,0.5390672019765352
251,�,1143,-3.1134827365399658,-2.630890440753126,0.4825922957868398
250,�,1204,-3.4993975867464693,-3.104855291867177,0.3945422948792925
7374, winter,182,-3.327787920668885,-2.974264144897461,0.353523775771424
3907,­,11,-4.780320601029829,-4.432589444247159,0.34773115678266997
837," ,",44,-3.2167889909310774,-2.9630631669001146,0.2537258240309628
7865, upcoming,14,-5.5283203125,-5.289341517857143,0.23897879464285676
35376,Winter,19,-4.854999743009868,-4.625057822779605,0.22994192023026283
6182, Boston,21,-4.840676443917411,-4.621352422805059,0.21932402111235128
16635,Bo,11,-3.3132939772172407,-3.106343160976063,0.20695081624117773
10216, Summer,40,-3.4214900970458983,-3.220619010925293,0.20087108612060556
9292, fallen,17,-4.3322610294117645,-4.139253504136029,0.1930075252757355
895, sm,11,-6.9624411843039775,-6.7719504616477275,0.19049072265625
48444, Bicycle,13,-2.776768611027644,-2.5876265305739183,0.18914208045372582
3426, December,45,-3.876513671875,-3.6877875434027776,0.1887261284722226
9807, collapse,16,-4.2636260986328125,-4.0752716064453125,0.1883544921875
31452, Diablo,21,-2.9920247395833335,-2.8037777855282737,0.18824695405505976
9019,ui,13,-3.1312170303784885,-2.950245948938223,0.18097108144026564
9008, hitting,12,-4.73291015625,-4.552083333333333,0.18082682291666696
13187, ecosystem,10,-2.7540347576141357,-2.5738494873046873,0.18018527030944842
891,ef,12,-1.2563115358352661,-1.0829236805438995,0.17338785529136658
2257,ST,11,-3.395588430491361,-3.229188485579057,0.1663999449123037
1299,ains,15,-1.6828944047292074,-1.5191491762797038,0.16374522844950357
266, w,25,-6.746812744140625,-6.58412109375,0.1626916503906246
6466, joint,11,-3.4143546277826484,-3.2523548819802026,0.1619997458024458
6507, sad,12,-6.125813802083333,-5.96435546875,0.16145833333333304
6997, Ms,13,-3.866887019230769,-3.7057166466346154,0.16117037259615374
19600, Brow,13,-3.1135052901047926,-2.954339834359976,0.15916545574481678
9016, lowest,12,-3.1784261067708335,-3.0260009765625,0.15242513020833348
4999, confirmed,26,-4.563161996694712,-4.412353515625,0.15080848106971168
