Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Academic Journal,1,2,0,0.717975701
Academic Journal,2,2,16,0.7992295533418655
Adult Film Actor,1,2,10,0.8433043271303177
Adult Film Actor,2,2,5,0.887334156
Airline,1,2,3,0.8925438433885574
Airline,2,2,5,0.9564621150493622
Airport,1,2,0,0.8578877747058868
Airport,2,2,5,0.9407127887010575
Album,1,2,7,0.8783284544944763
Album,2,2,0,0.9229573458433151
Ambassador,1,2,4,0.8506778866052628
Ambassador,2,2,1,0.9432562202215194
Amphibian,1,2,0,0.8017578244209289
Amphibian,2,2,16,0.8972158133983612
Animanga Character,1,2,1,0.8675265610218048
Animanga Character,2,2,20,0.8708208203315735
Anime,1,2,2,0.9160408526659012
Anime,2,2,13,0.9554724782705307
Architect,1,2,10,0.8241933584213257
Architect,2,2,5,0.9512616395950317
Astronaut,1,2,1,0.9079466313123703
Astronaut,2,2,5,0.9232523560523986
Badminton,1,2,2,0.6585485264658928
Badminton,2,2,4,0.9726455926895141
Band,1,2,0,0.8683011591434479
Band,2,2,13,0.9571388989686966
Bank,1,2,0,0.8674475491046906
Bank,2,2,20,0.9552786469459533
Baseball,1,2,2,0.9271406918764115
Baseball,2,2,3,0.9767985284328461
Basketball,1,2,1,0.9669637978076935
Basketball,2,2,13,0.9825080811977387
Beach Volleyball,1,2,0,0.9000695705413818
Beach Volleyball,2,2,0,0.9511406123638153
Beauty Queen,1,2,1,0.8619455486536026
Beauty Queen,2,2,14,0.8456737458705902
Bird,1,2,1,0.8393094569444657
Bird,2,2,15,0.9697828620672226
Bodybuilding,1,2,1,0.8847326070070267
Bodybuilding,2,2,7,0.9444662123918534
Boxing,1,2,2,0.8780503332614898
Boxing,2,2,7,0.9413861334323883
Bridge,1,2,0,0.8341261714696884
Bridge,2,2,12,0.965314296
Broadcast Network,1,2,0,0.7881806522607804
Broadcast Network,2,2,17,0.8874598354101181
Bus Company,1,2,21,0.7046485990285873
Bus Company,2,2,1,0.9434431523084641
Business Person,1,2,3,0.8907095700502395
Business Person,2,2,13,0.9026090204715729
Canal,1,2,36,0.8636759400367737
Canal,2,2,16,0.9710617005825043
Canoeing,1,2,0,0.7619639545679092
Canoeing,2,2,21,0.8568836361169815
Cardinal,1,2,2,0.8434075593948365
Cardinal,2,2,7,0.9440842539072036
Castle,1,2,1,0.8256802529096603
Castle,2,2,7,0.9300447404384613
Chef,1,2,0,0.8708307325839997
Chef,2,2,4,0.8982820808887482
Chess,1,2,0,0.9162256479263305
Chess,2,2,13,0.9696126997470855
Classical Music,1,2,0,0.9267902433872223
Classical Music,2,2,17,0.9707986116409302
