Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Albert Einstein,1,2,4,0.7913288801908493
Albert Einstein,2,2,20,0.9587047427892685
Aliens,1,2,1,0.6984515517950058
Aliens,2,2,3,0.9403813511133194
Apple,1,2,1,0.6277732402086258
Apple,2,2,16,0.981666088
Berlin,1,2,0,0.7994983851909637
Berlin,2,2,17,0.9637124747037887
Berries,1,2,0,0.7009667992591858
Berries,2,2,3,0.9728717654943466
Books,1,2,0,0.8746495336294174
Books,2,2,7,0.9775171875953674
Buildings,1,2,1,0.8836376711726188
Buildings,2,2,16,0.9816324770450592
Capitalism,1,2,3,0.8222994923591613
Capitalism,2,2,3,0.9557447344064712
Cars,1,2,0,0.958552685
Cars,2,2,21,0.9864349663257599
Cats,1,2,1,0.9298750966787338
Cats,2,2,11,0.9799548298120498
Chemistry,1,2,1,0.910660109
Chemistry,2,2,4,0.9615166336297989
Child,1,2,0,0.8683999538421631
Child,2,2,20,0.9731075823307037
Childhood,1,2,26,0.8685540348291397
Childhood,2,2,13,0.9444762647151947
Cinema,1,2,2,0.9454017609357834
Cinema,2,2,17,0.9776890754699707
Cleopatra,1,2,4,0.7707390427589417
Cleopatra,2,2,0,0.757698867
Clock,1,2,0,0.7620115235447884
Clock,2,2,15,0.9524870246648789
Clothes,1,2,0,0.717330427
Clothes,2,2,3,0.9756512969732285
Coding,1,2,0,0.8480920761823654
Coding,2,2,3,0.9588913947343827
Computer,1,2,2,0.8911544710397721
Computer,2,2,4,0.983280623
Computer Science,1,2,2,0.9272096872329711
Computer Science,2,2,4,0.9676982641220093
Culture,1,2,6,0.9471940338611603
Culture,2,2,18,0.9534527093172074
Dance,1,2,1,0.8612097203731537
Dance,2,2,13,0.975542015
Death,1,2,3,0.8341707050800323
Death,2,2,11,0.9631130069494247
Democracy,1,2,2,0.8574002921581269
Democracy,2,2,7,0.9465586930513382
Dictatorship,1,2,0,0.8109429068863392
Dictatorship,2,2,21,0.9273432493209839
Heatwave,1,2,17,0.7165550112724304
Heatwave,2,2,13,0.935216075
Hunting,1,2,4,0.7940385714173317
Hunting,2,2,7,0.9753735333681106
Hurricane,1,2,4,0.9412006169557572
Hurricane,2,2,13,0.9682283610105514
Ice Cream,1,2,1,0.7254037126898766
Ice Cream,2,2,0,0.9310165539383888
Iran,1,2,2,0.9390519887208939
Iran,2,2,19,0.9214989766478539
Israel,1,2,3,0.9427886962890625
Israel,2,2,3,0.9757060468196869
Italy,1,2,2,0.7654752761125565
Italy,2,2,14,0.9595172673463821
Jungle,1,2,4,0.7596866458654403
Jungle,2,2,15,0.8753382861614227
Lego,1,2,0,0.8617301702499389
Lego,2,2,0,0.9831571966409683
Lions,1,2,1,0.8075640380382538
Lions,2,2,0,0.9690209239721298
London,1,2,1,0.8040199756622315
London,2,2,17,0.9546213328838349
Man vs. Nature,1,2,4,0.7711324274539948
Man vs. Nature,2,2,16,0.811543196
Mathematics,1,2,0,0.8941958516836166
Mathematics,2,2,3,0.9562797337770462
McDonalds,1,2,0,0.9204354822635651
McDonalds,2,2,20,0.9113043516874313
Meteor Strike,1,2,3,0.9074981
Meteor Strike,2,2,13,0.8555600121617317
Michael Jackson,1,2,0,0.7935709744691849
Michael Jackson,2,2,21,0.9800703883171081
Microsoft,1,2,0,0.9438066840171814
Microsoft,2,2,20,0.978973213
Middle Ages,1,2,2,0.7802584439516067
Middle Ages,2,2,17,0.9634407192468644
Moses,1,2,1,0.8172512114048004
Moses,2,2,3,0.9398917138576508
Nepal,1,2,1,0.9335571616888046
Nepal,2,2,20,0.9638920962810517
New York,1,2,1,0.8145483672618866
New York,2,2,14,0.9538194417953492
Ocean,1,2,2,0.8446410417556762
Ocean,2,2,22,0.9837686896324158
Olympics,1,2,0,0.8506168603897095
Olympics,2,2,16,0.9280120521783829
Paper,1,2,29,0.8004972994327545
Paper,2,2,0,0.9651542991399765
Paris,1,2,3,0.8019879251718521
Paris,2,2,4,0.9516602963209152
Dogs,1,2,3,0.9785597592592239
Dogs,2,2,1,0.9846951335668563
Donald Trump,1,2,3,0.9439454197883606
Donald Trump,2,2,14,0.9494700223207474
Door,1,2,0,0.743613675
Door,2,2,22,0.9765078485012054
Dow Jones,1,2,1,0.8774196833372117
Dow Jones,2,2,16,0.9560437113046646
Drag Queen,1,2,5,0.7440163105726242
Drag Queen,2,2,16,0.9720082134008408
Drinks,1,2,1,0.874240232
Drinks,2,2,0,0.9792850136756897
Dwayne Johnson,1,2,0,0.8598545461893081
Dwayne Johnson,2,2,20,0.9547086536884308
Eating,1,2,2,0.7288736626505852
Eating,2,2,13,0.9812035948038101
Eurovision,1,2,2,0.8458783805370331
Eurovision,2,2,4,0.9243967771530152
Facebook,1,2,0,0.9564705550670624
Facebook,2,2,4,0.9694016575813293
Fairy Tale,1,2,1,0.7998938828706741
Fairy Tale,2,2,21,0.960651022
Family,1,2,0,0.8843006998300552
Family,2,2,14,0.9746604412794113
Fascism,1,2,4,0.8807154864072799
Fascism,2,2,3,0.9215777456760407
Feelings,1,2,24,0.9467704564332962
Feelings,2,2,24,0.9611358910799026
Fire Extinguisher,1,2,0,0.9241418868303299
Fire Extinguisher,2,2,16,0.9641919642686844
Flowers,1,2,2,0.7511300057172775
Flowers,2,2,3,0.9537039786577225
Food,1,2,1,0.847128952
Food,2,2,6,0.9867199778556823
France,1,2,0,0.8675958961248398
France,2,2,11,0.9675058364868164
Friendship,1,2,26,0.7875822901725769
Friendship,2,2,4,0.9562909305095673
Fruits,1,2,3,0.8049974843859673
Fruits,2,2,20,0.9809374809265137
Gandhi,1,2,0,0.9169694036245346
Gandhi,2,2,2,0.9543013215065003
George Washington,1,2,1,0.7993520990014076
George Washington,2,2,12,0.9709335714578629
Hacking,1,2,6,0.8387362405657768
Hacking,2,2,1,0.9427889704704284
Harry Potter,1,2,6,0.875593202
Harry Potter,2,2,0,0.9177467793226242
Party,1,2,1,0.8387769430875778
Party,2,2,7,0.9703292816877365
Penguins,1,2,2,0.7318287134170532
Penguins,2,2,22,0.9729346096515655
Physics,1,2,3,0.8582862973213196
Physics,2,2,17,0.9240785777568817
Pizza,1,2,2,0.8294645205140114
Pizza,2,2,16,0.9730654448270798
Plague,1,2,0,0.709083368
Plague,2,2,0,0.916613194
Refrigerator,1,2,1,0.8709974601864815
Refrigerator,2,2,16,0.9315133765339851
Santa Claus,1,2,0,0.9341177925467491
Santa Claus,2,2,0,0.8521398678421974
Science Fiction,1,2,2,0.7572380781173706
Science Fiction,2,2,2,0.9462989330291748
Sherlock Holmes,1,2,2,0.9148425430059433
Sherlock Holmes,2,2,17,0.8896199584007263
Sleeping,1,2,0,0.7618953436613083
Sleeping,2,2,12,0.9771752953529358
Smoking,1,2,4,0.9792003840208053
Smoking,2,2,6,0.9746565103530884
Social Media,1,2,1,0.8340473711490631
Social Media,2,2,16,0.9517749160528183
Socialism,1,2,2,0.8788768827915192
Socialism,2,2,3,0.9293383330106735
Spiderman,1,2,3,0.8955654159188271
Spiderman,2,2,21,0.9229867875576019
Sports,1,2,0,0.8078945323824882
Sports,2,2,12,0.9719707578420639
Square,1,2,0,0.6769129514694214
Square,2,2,20,0.9632731050252914
Stock Market,1,2,1,0.9134189188480377
Stock Market,2,2,0,0.9691534101963043
Storm,1,2,1,0.7658618241548538
Storm,2,2,12,0.9783172816038131
Sun,1,2,0,0.7014334812760353
Sun,2,2,20,0.9286137610673905
Superman,1,2,2,0.9411928206682205
Superman,2,2,20,0.9266444027423859
Taylor Swift,1,2,7,0.8110689505934715
Taylor Swift,2,2,2,0.9172757238149643
Tel Aviv,1,2,0,0.7351615816354752
Tel Aviv,2,2,16,0.9009823426604271
Television,1,2,2,0.8713760286569595
Television,2,2,16,0.9789231091737747
The Black Death,1,2,1,0.9049318581819534
The Black Death,2,2,15,0.9261182188987732
The Civil War,1,2,4,0.9303039312362671
The Civil War,2,2,13,0.9484886020421982
The Cold War,1,2,0,0.9696970850229263
The Cold War,2,2,12,0.9675690114498139
The Gulf War,1,2,6,0.9212173908948899
The Gulf War,2,2,19,0.9352419406175614
The Vietnam War,1,2,4,0.9038564950227738
The Vietnam War,2,2,0,0.9298918783664704
Tidiness,1,2,0,0.616775107
Tidiness,2,2,0,0.777019526
Toilet,1,2,0,0.7944867447018623
Toilet,2,2,13,0.9846377283334732
Tree,1,2,1,0.7934412941336632
Tree,2,2,7,0.9782867819070816
Tsunami,1,2,0,0.9224243372678756
Tsunami,2,2,22,0.7973870411515236
Vacation,1,2,0,0.8132032752037048
Vacation,2,2,4,0.9433360233902931
Vegetables,1,2,0,0.9439210593700409
Vegetables,2,2,3,0.9741895854473114
Violence,1,2,3,0.8625358253717422
Violence,2,2,3,0.9214834690093994
War,1,2,3,0.8543054208159446
War,2,2,3,0.954842746
War and Peace,1,2,2,0.7292815387248993
War and Peace,2,2,3,0.7738384544849396
Weddings,1,2,2,0.9123260408639908
Weddings,2,2,0,0.9850656509399414
Wildlife,1,2,2,0.9402693301439286
Wildlife,2,2,17,0.973596328
Winter,1,2,1,0.7133108884096145
Winter,2,2,5,0.9506400048732757
Women,1,2,3,0.9435432016849518
Women,2,2,20,0.9625322371721268
World War 1,1,2,20,0.8334482491016388
World War 1,2,2,16,0.8678398311138154
World War 2,1,2,1,0.8008378505706787
World War 2,2,2,16,0.9194707185029983
YouTube,1,2,2,0.8923256680369377
YouTube,2,2,16,0.9365963637828827
Zombies,1,2,3,0.8988341450691223
Zombies,2,2,15,0.9561715871095657
Academic Journal,1,2,0,0.6578414127230644
Academic Journal,2,2,16,0.8397588983178139
Adult Film Actor,1,2,0,0.806075144
Adult Film Actor,2,2,16,0.8994366109371186
Airline,1,2,2,0.8946473345160484
Airline,2,2,5,0.959238914
Airport,1,2,0,0.7639254212379456
Airport,2,2,4,0.9225052207708359
Album,1,2,4,0.7878253549337387
Album,2,2,17,0.948986503
Ambassador,1,2,0,0.8337922811508178
Ambassador,2,2,1,0.9532320380210877
Amphibian,1,2,0,0.7209095567464828
Amphibian,2,2,16,0.8884872555732727
Animanga Character,1,2,2,0.8824424296617508
Animanga Character,2,2,20,0.9077834159135818
Anime,1,2,3,0.9096730679273606
Anime,2,2,13,0.9554254144430161
Architect,1,2,0,0.7755028277635574
Architect,2,2,5,0.9628858178853988
Astronaut,1,2,1,0.919627896
Astronaut,2,2,5,0.9692839026451111
Badminton,1,2,2,0.6232224270701409
Badminton,2,2,4,0.9645987182855607
Band,1,2,0,0.8905483037233353
Band,2,2,13,0.981715739
Bank,1,2,0,0.8779488995671272
Bank,2,2,20,0.977739617
Baseball,1,2,2,0.9249254539608955
Baseball,2,2,3,0.975447702
Basketball,1,2,1,0.9647697865962982
Basketball,2,2,13,0.983393645
Beach Volleyball,1,2,0,0.8872170388698578
Beach Volleyball,2,2,0,0.9329872101545333
Beauty Queen,1,2,1,0.8768716350197792
Beauty Queen,2,2,14,0.8556919634342194
